id,asset,year,rep_period,time_block_start,time_block_end,unit_commitment_integer,solution
169,AT_Gas,2050,1,1,2,true,0.0
170,AT_Gas,2050,1,3,4,true,0.0
171,AT_Gas,2050,1,5,6,true,0.0
172,AT_Gas,2050,1,7,8,true,0.0
173,AT_Gas,2050,1,9,10,true,0.0
174,AT_Gas,2050,1,11,12,true,0.0
175,AT_Gas,2050,1,13,14,true,0.0
176,AT_Gas,2050,1,15,16,true,0.0
177,AT_Gas,2050,1,17,18,true,0.0
178,AT_Gas,2050,1,19,20,true,0.0
179,AT_Gas,2050,1,21,22,true,0.0
180,AT_Gas,2050,1,23,24,true,0.0
913,AT_Gas,2050,2,1,2,true,0.0
914,AT_Gas,2050,2,3,4,true,0.0
915,AT_Gas,2050,2,5,6,true,0.0
916,AT_Gas,2050,2,7,8,true,0.0
917,AT_Gas,2050,2,9,10,true,0.0
918,AT_Gas,2050,2,11,12,true,0.0
919,AT_Gas,2050,2,13,14,true,0.0
920,AT_Gas,2050,2,15,16,true,0.0
921,AT_Gas,2050,2,17,18,true,0.0
922,AT_Gas,2050,2,19,20,true,0.0
923,AT_Gas,2050,2,21,22,true,0.0
924,AT_Gas,2050,2,23,24,true,0.0
2029,AT_Gas,2050,3,1,2,true,1.0
2030,AT_Gas,2050,3,3,4,true,0.0
2031,AT_Gas,2050,3,5,6,true,0.0
2032,AT_Gas,2050,3,7,8,true,0.0
2033,AT_Gas,2050,3,9,10,true,0.0
2034,AT_Gas,2050,3,11,12,true,0.0
2035,AT_Gas,2050,3,13,14,true,0.0
2036,AT_Gas,2050,3,15,16,true,0.0
2037,AT_Gas,2050,3,17,18,true,0.0
2038,AT_Gas,2050,3,19,20,true,0.0
2039,AT_Gas,2050,3,21,22,true,0.0
2040,AT_Gas,2050,3,23,24,true,0.0
2389,AT_Gas,2050,4,1,2,true,0.0
2390,AT_Gas,2050,4,3,4,true,0.0
2391,AT_Gas,2050,4,5,6,true,0.0
2392,AT_Gas,2050,4,7,8,true,0.0
2393,AT_Gas,2050,4,9,10,true,0.0
2394,AT_Gas,2050,4,11,12,true,0.0
2395,AT_Gas,2050,4,13,14,true,0.0
2396,AT_Gas,2050,4,15,16,true,0.0
2397,AT_Gas,2050,4,17,18,true,0.0
2398,AT_Gas,2050,4,19,20,true,0.0
2399,AT_Gas,2050,4,21,22,true,0.0
2400,AT_Gas,2050,4,23,24,true,0.0
3097,AT_Gas,2050,5,1,2,true,0.0
3098,AT_Gas,2050,5,3,4,true,0.0
3099,AT_Gas,2050,5,5,6,true,0.0
3100,AT_Gas,2050,5,7,8,true,0.0
3101,AT_Gas,2050,5,9,10,true,0.0
3102,AT_Gas,2050,5,11,12,true,0.0
3103,AT_Gas,2050,5,13,14,true,0.0
3104,AT_Gas,2050,5,15,16,true,0.0
3105,AT_Gas,2050,5,17,18,true,0.0
3106,AT_Gas,2050,5,19,20,true,0.0
3107,AT_Gas,2050,5,21,22,true,0.0
3108,AT_Gas,2050,5,23,24,true,0.0
3853,AT_Gas,2050,6,1,2,true,0.0
3854,AT_Gas,2050,6,3,4,true,0.0
3855,AT_Gas,2050,6,5,6,true,0.0
3856,AT_Gas,2050,6,7,8,true,0.0
3857,AT_Gas,2050,6,9,10,true,0.0
3858,AT_Gas,2050,6,11,12,true,0.0
3859,AT_Gas,2050,6,13,14,true,0.0
3860,AT_Gas,2050,6,15,16,true,0.0
3861,AT_Gas,2050,6,17,18,true,0.0
3862,AT_Gas,2050,6,19,20,true,0.0
3863,AT_Gas,2050,6,21,22,true,0.0
3864,AT_Gas,2050,6,23,24,true,0.0
4573,AT_Gas,2050,7,1,2,true,0.0
4574,AT_Gas,2050,7,3,4,true,0.0
4575,AT_Gas,2050,7,5,6,true,0.0
4576,AT_Gas,2050,7,7,8,true,0.0
4577,AT_Gas,2050,7,9,10,true,0.0
4578,AT_Gas,2050,7,11,12,true,0.0
4579,AT_Gas,2050,7,13,14,true,0.0
4580,AT_Gas,2050,7,15,16,true,0.0
4581,AT_Gas,2050,7,17,18,true,1.0
4582,AT_Gas,2050,7,19,20,true,0.0
4583,AT_Gas,2050,7,21,22,true,0.0
4584,AT_Gas,2050,7,23,24,true,0.0
5329,AT_Gas,2050,8,1,2,true,0.0
5330,AT_Gas,2050,8,3,4,true,0.0
5331,AT_Gas,2050,8,5,6,true,0.0
5332,AT_Gas,2050,8,7,8,true,0.0
5333,AT_Gas,2050,8,9,10,true,0.0
5334,AT_Gas,2050,8,11,12,true,0.0
5335,AT_Gas,2050,8,13,14,true,0.0
5336,AT_Gas,2050,8,15,16,true,0.0
5337,AT_Gas,2050,8,17,18,true,0.0
5338,AT_Gas,2050,8,19,20,true,0.0
5339,AT_Gas,2050,8,21,22,true,0.0
5340,AT_Gas,2050,8,23,24,true,0.0
6457,AT_Gas,2050,9,1,2,true,1.0
6458,AT_Gas,2050,9,3,4,true,0.0
6459,AT_Gas,2050,9,5,6,true,0.0
6460,AT_Gas,2050,9,7,8,true,0.0
6461,AT_Gas,2050,9,9,10,true,0.0
6462,AT_Gas,2050,9,11,12,true,0.0
6463,AT_Gas,2050,9,13,14,true,0.0
6464,AT_Gas,2050,9,15,16,true,0.0
6465,AT_Gas,2050,9,17,18,true,0.0
6466,AT_Gas,2050,9,19,20,true,1.0
6467,AT_Gas,2050,9,21,22,true,0.0
6468,AT_Gas,2050,9,23,24,true,0.0
6721,AT_Gas,2050,10,1,2,true,0.0
6722,AT_Gas,2050,10,3,4,true,0.0
6723,AT_Gas,2050,10,5,6,true,0.0
6724,AT_Gas,2050,10,7,8,true,0.0
6725,AT_Gas,2050,10,9,10,true,0.0
6726,AT_Gas,2050,10,11,12,true,0.0
6727,AT_Gas,2050,10,13,14,true,0.0
6728,AT_Gas,2050,10,15,16,true,0.0
6729,AT_Gas,2050,10,17,18,true,0.0
6730,AT_Gas,2050,10,19,20,true,0.0
6731,AT_Gas,2050,10,21,22,true,0.0
6732,AT_Gas,2050,10,23,24,true,0.0
13,BE_Gas,2050,1,1,2,true,0.0
14,BE_Gas,2050,1,3,4,true,0.0
15,BE_Gas,2050,1,5,6,true,0.0
16,BE_Gas,2050,1,7,8,true,0.0
17,BE_Gas,2050,1,9,10,true,0.0
18,BE_Gas,2050,1,11,12,true,0.0
19,BE_Gas,2050,1,13,14,true,0.0
20,BE_Gas,2050,1,15,16,true,0.0
21,BE_Gas,2050,1,17,18,true,0.0
22,BE_Gas,2050,1,19,20,true,0.0
23,BE_Gas,2050,1,21,22,true,0.0
24,BE_Gas,2050,1,23,24,true,0.0
745,BE_Gas,2050,2,1,2,true,0.0
746,BE_Gas,2050,2,3,4,true,0.0
747,BE_Gas,2050,2,5,6,true,0.0
748,BE_Gas,2050,2,7,8,true,0.0
749,BE_Gas,2050,2,9,10,true,0.0
750,BE_Gas,2050,2,11,12,true,0.0
751,BE_Gas,2050,2,13,14,true,0.0
752,BE_Gas,2050,2,15,16,true,0.0
753,BE_Gas,2050,2,17,18,true,0.0
754,BE_Gas,2050,2,19,20,true,0.0
755,BE_Gas,2050,2,21,22,true,0.0
756,BE_Gas,2050,2,23,24,true,0.0
2017,BE_Gas,2050,3,1,2,true,0.0
2018,BE_Gas,2050,3,3,4,true,0.0
2019,BE_Gas,2050,3,5,6,true,0.0
2020,BE_Gas,2050,3,7,8,true,0.0
2021,BE_Gas,2050,3,9,10,true,0.0
2022,BE_Gas,2050,3,11,12,true,0.0
2023,BE_Gas,2050,3,13,14,true,0.0
2024,BE_Gas,2050,3,15,16,true,0.0
2025,BE_Gas,2050,3,17,18,true,0.0
2026,BE_Gas,2050,3,19,20,true,0.0
2027,BE_Gas,2050,3,21,22,true,0.0
2028,BE_Gas,2050,3,23,24,true,0.0
2221,BE_Gas,2050,4,1,2,true,0.0
2222,BE_Gas,2050,4,3,4,true,0.0
2223,BE_Gas,2050,4,5,6,true,0.0
2224,BE_Gas,2050,4,7,8,true,0.0
2225,BE_Gas,2050,4,9,10,true,0.0
2226,BE_Gas,2050,4,11,12,true,0.0
2227,BE_Gas,2050,4,13,14,true,0.0
2228,BE_Gas,2050,4,15,16,true,0.0
2229,BE_Gas,2050,4,17,18,true,0.0
2230,BE_Gas,2050,4,19,20,true,0.0
2231,BE_Gas,2050,4,21,22,true,0.0
2232,BE_Gas,2050,4,23,24,true,0.0
2941,BE_Gas,2050,5,1,2,true,0.0
2942,BE_Gas,2050,5,3,4,true,0.0
2943,BE_Gas,2050,5,5,6,true,0.0
2944,BE_Gas,2050,5,7,8,true,0.0
2945,BE_Gas,2050,5,9,10,true,0.0
2946,BE_Gas,2050,5,11,12,true,0.0
2947,BE_Gas,2050,5,13,14,true,0.0
2948,BE_Gas,2050,5,15,16,true,0.0
2949,BE_Gas,2050,5,17,18,true,0.0
2950,BE_Gas,2050,5,19,20,true,0.0
2951,BE_Gas,2050,5,21,22,true,0.0
2952,BE_Gas,2050,5,23,24,true,0.0
3685,BE_Gas,2050,6,1,2,true,0.0
3686,BE_Gas,2050,6,3,4,true,0.0
3687,BE_Gas,2050,6,5,6,true,0.0
3688,BE_Gas,2050,6,7,8,true,0.0
3689,BE_Gas,2050,6,9,10,true,0.0
3690,BE_Gas,2050,6,11,12,true,0.0
