id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,AT_E_Balance,2050,1,1,4,27.560000000000006
2,AT_E_Balance,2050,1,5,8,27.560000000000002
3,AT_E_Balance,2050,1,9,12,-0.0
4,AT_E_Balance,2050,1,13,16,-0.0
5,AT_E_Balance,2050,1,17,20,27.560000000000006
6,AT_E_Balance,2050,1,21,24,-0.0
7,AT_E_Balance,2050,2,1,4,-0.0
8,AT_E_Balance,2050,2,5,8,-0.0
9,AT_E_Balance,2050,2,9,12,-0.0
10,AT_E_Balance,2050,2,13,16,-0.0
11,AT_E_Balance,2050,2,17,20,-0.0
12,AT_E_Balance,2050,2,21,24,-0.0
13,AT_E_Balance,2050,3,1,4,15.080000000000004
14,AT_E_Balance,2050,3,5,8,15.080000000000004
15,AT_E_Balance,2050,3,9,12,11.545625000000006
16,AT_E_Balance,2050,3,13,16,5.336
17,AT_E_Balance,2050,3,17,20,15.080000000000004
18,AT_E_Balance,2050,3,21,24,15.080000000000004
19,AT_E_Balance,2050,4,1,4,-0.0
20,AT_E_Balance,2050,4,5,8,-0.0
21,AT_E_Balance,2050,4,9,12,-0.0
22,AT_E_Balance,2050,4,13,16,-0.0
23,AT_E_Balance,2050,4,17,20,-0.0
24,AT_E_Balance,2050,4,21,24,-0.0
25,AT_E_Balance,2050,5,1,4,-0.0
26,AT_E_Balance,2050,5,5,8,-0.0
27,AT_E_Balance,2050,5,9,12,-0.0
28,AT_E_Balance,2050,5,13,16,-0.0
29,AT_E_Balance,2050,5,17,20,-0.0
30,AT_E_Balance,2050,5,21,24,-0.0
31,AT_E_Balance,2050,6,1,4,2.289101702691869
32,AT_E_Balance,2050,6,5,8,3.312
33,AT_E_Balance,2050,6,9,12,-0.0
34,AT_E_Balance,2050,6,13,16,-0.0
35,AT_E_Balance,2050,6,17,20,2.289101702691977
36,AT_E_Balance,2050,6,21,24,2.5099111347735743
37,AT_E_Balance,2050,7,1,4,4.0416378153885715
38,AT_E_Balance,2050,7,5,8,19.240000000000002
39,AT_E_Balance,2050,7,9,12,-0.0
40,AT_E_Balance,2050,7,13,16,-0.0
41,AT_E_Balance,2050,7,17,20,19.240000000000002
42,AT_E_Balance,2050,7,21,24,19.240000000000002
43,AT_E_Balance,2050,8,1,4,-0.0
44,AT_E_Balance,2050,8,5,8,-0.0
45,AT_E_Balance,2050,8,9,12,-0.0
46,AT_E_Balance,2050,8,13,16,-0.0
47,AT_E_Balance,2050,8,17,20,-0.0
48,AT_E_Balance,2050,8,21,24,-0.0
49,AT_E_Balance,2050,9,1,4,2.179580186338829
50,AT_E_Balance,2050,9,5,8,2.179580186338829
51,AT_E_Balance,2050,9,9,12,-0.0
52,AT_E_Balance,2050,9,13,16,-0.0
53,AT_E_Balance,2050,9,17,20,2.179580186338829
54,AT_E_Balance,2050,9,21,24,2.179580186338829
55,AT_E_Balance,2050,10,1,4,23.91999999999999
56,AT_E_Balance,2050,10,5,8,23.91999999999999
57,AT_E_Balance,2050,10,9,12,23.920000000000005
58,AT_E_Balance,2050,10,13,16,23.920000000000005
59,AT_E_Balance,2050,10,17,20,23.92
60,AT_E_Balance,2050,10,21,24,23.92
61,BE_E_Balance,2050,1,1,4,27.560000000000006
62,BE_E_Balance,2050,1,5,8,848.0
63,BE_E_Balance,2050,1,9,12,27.560000000000006
64,BE_E_Balance,2050,1,13,16,-0.0
65,BE_E_Balance,2050,1,17,20,27.560000000000006
66,BE_E_Balance,2050,1,21,24,-0.0
67,BE_E_Balance,2050,2,1,4,-0.0
68,BE_E_Balance,2050,2,5,8,-0.0
69,BE_E_Balance,2050,2,9,12,-0.0
70,BE_E_Balance,2050,2,13,16,-0.0
71,BE_E_Balance,2050,2,17,20,-0.0
72,BE_E_Balance,2050,2,21,24,-0.0
73,BE_E_Balance,2050,3,1,4,-0.0
74,BE_E_Balance,2050,3,5,8,-0.0
75,BE_E_Balance,2050,3,9,12,-0.0
76,BE_E_Balance,2050,3,13,16,-0.0
77,BE_E_Balance,2050,3,17,20,-0.0
78,BE_E_Balance,2050,3,21,24,-0.0
79,BE_E_Balance,2050,4,1,4,-0.0
80,BE_E_Balance,2050,4,5,8,-0.0
81,BE_E_Balance,2050,4,9,12,-0.0
82,BE_E_Balance,2050,4,13,16,-0.0
83,BE_E_Balance,2050,4,17,20,-0.0
84,BE_E_Balance,2050,4,21,24,-0.0
85,BE_E_Balance,2050,5,1,4,-0.0
86,BE_E_Balance,2050,5,5,8,-0.0
87,BE_E_Balance,2050,5,9,12,-0.0
88,BE_E_Balance,2050,5,13,16,-0.0
89,BE_E_Balance,2050,5,17,20,-0.0
90,BE_E_Balance,2050,5,21,24,-0.0
91,BE_E_Balance,2050,6,1,4,9.360000000000001
92,BE_E_Balance,2050,6,5,8,288.0
93,BE_E_Balance,2050,6,9,12,9.360000000000001
94,BE_E_Balance,2050,6,13,16,-0.0
95,BE_E_Balance,2050,6,17,20,-0.0
96,BE_E_Balance,2050,6,21,24,10.262876565883612
97,BE_E_Balance,2050,7,1,4,19.240000000000002
98,BE_E_Balance,2050,7,5,8,592.0
99,BE_E_Balance,2050,7,9,12,592.0
100,BE_E_Balance,2050,7,13,16,100.05746974803208
101,BE_E_Balance,2050,7,17,20,592.0
102,BE_E_Balance,2050,7,21,24,19.240000000000002
103,BE_E_Balance,2050,8,1,4,-0.0
104,BE_E_Balance,2050,8,5,8,-0.0
105,BE_E_Balance,2050,8,9,12,-0.0
106,BE_E_Balance,2050,8,13,16,-0.0
107,BE_E_Balance,2050,8,17,20,-0.0
108,BE_E_Balance,2050,8,21,24,-0.0
109,BE_E_Balance,2050,9,1,4,-0.0
110,BE_E_Balance,2050,9,5,8,-0.0
111,BE_E_Balance,2050,9,9,12,-0.0
112,BE_E_Balance,2050,9,13,16,-0.0
113,BE_E_Balance,2050,9,17,20,-0.0
114,BE_E_Balance,2050,9,21,24,-0.0
115,BE_E_Balance,2050,10,1,4,23.920000000000005
116,BE_E_Balance,2050,10,5,8,736.0
117,BE_E_Balance,2050,10,9,12,736.0
118,BE_E_Balance,2050,10,13,16,736.0
119,BE_E_Balance,2050,10,17,20,736.0
120,BE_E_Balance,2050,10,21,24,23.920000000000005
121,BG_E_Balance,2050,1,1,4,27.560000000000006
122,BG_E_Balance,2050,1,5,8,27.56000000000001
123,BG_E_Balance,2050,1,9,12,-0.0
124,BG_E_Balance,2050,1,13,16,-0.0
125,BG_E_Balance,2050,1,17,20,27.560000000000013
126,BG_E_Balance,2050,1,21,24,27.560000000000006
127,BG_E_Balance,2050,2,1,4,6.072
128,BG_E_Balance,2050,2,5,8,6.072
129,BG_E_Balance,2050,2,9,12,-0.0
130,BG_E_Balance,2050,2,13,16,-0.0
131,BG_E_Balance,2050,2,17,20,6.072
132,BG_E_Balance,2050,2,21,24,6.072
133,BG_E_Balance,2050,3,1,4,15.080000000000004
134,BG_E_Balance,2050,3,5,8,15.080000000000004
135,BG_E_Balance,2050,3,9,12,13.753337000000004
136,BG_E_Balance,2050,3,13,16,15.080000000000004
137,BG_E_Balance,2050,3,17,20,15.080000000000004
138,BG_E_Balance,2050,3,21,24,15.080000000000004
