id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,AT_electrolyzer,2050,1,1,6,1.7225000000000001
2,AT_electrolyzer,2050,1,7,12,-0.0
3,AT_electrolyzer,2050,1,13,18,-0.0
4,AT_electrolyzer,2050,1,19,24,1.7225000000000001
5,AT_electrolyzer,2050,2,1,6,-0.0
6,AT_electrolyzer,2050,2,7,12,-0.0
7,AT_electrolyzer,2050,2,13,18,-0.0
8,AT_electrolyzer,2050,2,19,24,-0.0
9,AT_electrolyzer,2050,3,1,6,0.9425000000000001
10,AT_electrolyzer,2050,3,7,12,0.9425000000000001
11,AT_electrolyzer,2050,3,13,18,0.9425000000000001
12,AT_electrolyzer,2050,3,19,24,0.9425000000000001
13,AT_electrolyzer,2050,4,1,6,-0.0
14,AT_electrolyzer,2050,4,7,12,-0.0
15,AT_electrolyzer,2050,4,13,18,-0.0
16,AT_electrolyzer,2050,4,19,24,-0.0
17,AT_electrolyzer,2050,5,1,6,-0.0
18,AT_electrolyzer,2050,5,7,12,-0.0
19,AT_electrolyzer,2050,5,13,18,-0.0
20,AT_electrolyzer,2050,5,19,24,-0.0
21,AT_electrolyzer,2050,6,1,6,0.02843085106382965
22,AT_electrolyzer,2050,6,7,12,-0.0
23,AT_electrolyzer,2050,6,13,18,-0.0
24,AT_electrolyzer,2050,6,19,24,0.02843085106382965
25,AT_electrolyzer,2050,7,1,6,1.2025000000000001
26,AT_electrolyzer,2050,7,7,12,0.34976056088330393
27,AT_electrolyzer,2050,7,13,18,0.30165870689712304
28,AT_electrolyzer,2050,7,19,24,1.2025000000000003
29,AT_electrolyzer,2050,8,1,6,-0.0
30,AT_electrolyzer,2050,8,7,12,-0.0
31,AT_electrolyzer,2050,8,13,18,-0.0
32,AT_electrolyzer,2050,8,19,24,-0.0
33,AT_electrolyzer,2050,9,1,6,0.139083389579527
34,AT_electrolyzer,2050,9,7,12,-0.0
35,AT_electrolyzer,2050,9,13,18,-0.0
36,AT_electrolyzer,2050,9,19,24,0.139083389579527
37,AT_electrolyzer,2050,10,1,6,1.5797056133540368
38,AT_electrolyzer,2050,10,7,12,1.495
39,AT_electrolyzer,2050,10,13,18,1.495
40,AT_electrolyzer,2050,10,19,24,1.639209451495299
41,BE_electrolyzer,2050,1,1,6,1.7225000000000001
42,BE_electrolyzer,2050,1,7,12,1.888654368027192
43,BE_electrolyzer,2050,1,13,18,-0.0
44,BE_electrolyzer,2050,1,19,24,53.0
45,BE_electrolyzer,2050,2,1,6,-0.0
46,BE_electrolyzer,2050,2,7,12,-0.0
47,BE_electrolyzer,2050,2,13,18,-0.0
48,BE_electrolyzer,2050,2,19,24,1.0725000000000002
49,BE_electrolyzer,2050,3,1,6,-0.0
50,BE_electrolyzer,2050,3,7,12,-0.0
51,BE_electrolyzer,2050,3,13,18,-0.0
52,BE_electrolyzer,2050,3,19,24,-0.0
53,BE_electrolyzer,2050,4,1,6,-0.0
54,BE_electrolyzer,2050,4,7,12,-0.0
55,BE_electrolyzer,2050,4,13,18,-0.0
56,BE_electrolyzer,2050,4,19,24,-0.0
57,BE_electrolyzer,2050,5,1,6,-0.0
58,BE_electrolyzer,2050,5,7,12,-0.0
59,BE_electrolyzer,2050,5,13,18,-0.0
60,BE_electrolyzer,2050,5,19,24,-0.0
61,BE_electrolyzer,2050,6,1,6,18.0
62,BE_electrolyzer,2050,6,7,12,0.5850000000000001
63,BE_electrolyzer,2050,6,13,18,-0.0
64,BE_electrolyzer,2050,6,19,24,18.0
65,BE_electrolyzer,2050,7,1,6,37.0
66,BE_electrolyzer,2050,7,7,12,48.32653061224488
67,BE_electrolyzer,2050,7,13,18,1.2025000000000003
68,BE_electrolyzer,2050,7,19,24,40.56906334804418
69,BE_electrolyzer,2050,8,1,6,-0.0
70,BE_electrolyzer,2050,8,7,12,-0.0
71,BE_electrolyzer,2050,8,13,18,-0.0
72,BE_electrolyzer,2050,8,19,24,-0.0
73,BE_electrolyzer,2050,9,1,6,-0.0
74,BE_electrolyzer,2050,9,7,12,-0.0
75,BE_electrolyzer,2050,9,13,18,-0.0
76,BE_electrolyzer,2050,9,19,24,1.3975000000000002
77,BE_electrolyzer,2050,10,1,6,46.0
78,BE_electrolyzer,2050,10,7,12,162.58375000000007
79,BE_electrolyzer,2050,10,13,18,46.0
80,BE_electrolyzer,2050,10,19,24,148.28044459375008
81,BG_electrolyzer,2050,1,1,6,1.7225000000000001
82,BG_electrolyzer,2050,1,7,12,-0.0
83,BG_electrolyzer,2050,1,13,18,-0.0
84,BG_electrolyzer,2050,1,19,24,1.7225000000000001
85,BG_electrolyzer,2050,2,1,6,0.3795
86,BG_electrolyzer,2050,2,7,12,-0.0
87,BG_electrolyzer,2050,2,13,18,-0.0
88,BG_electrolyzer,2050,2,19,24,0.3795000000000003
89,BG_electrolyzer,2050,3,1,6,0.9425000000000002
90,BG_electrolyzer,2050,3,7,12,0.9425000000000001
91,BG_electrolyzer,2050,3,13,18,0.9425000000000001
92,BG_electrolyzer,2050,3,19,24,0.9425000000000001
93,BG_electrolyzer,2050,4,1,6,0.26449999999999985
94,BG_electrolyzer,2050,4,7,12,0.2645
95,BG_electrolyzer,2050,4,13,18,0.2645
96,BG_electrolyzer,2050,4,19,24,0.2645
97,BG_electrolyzer,2050,5,1,6,0.598
98,BG_electrolyzer,2050,5,7,12,0.598
99,BG_electrolyzer,2050,5,13,18,0.598
100,BG_electrolyzer,2050,5,19,24,0.7810612244897972
101,BG_electrolyzer,2050,6,1,6,0.20700000000000002
102,BG_electrolyzer,2050,6,7,12,-0.0
103,BG_electrolyzer,2050,6,13,18,-0.0
104,BG_electrolyzer,2050,6,19,24,0.207
105,BG_electrolyzer,2050,7,1,6,0.456830120337376
106,BG_electrolyzer,2050,7,7,12,0.34976056088330393
107,BG_electrolyzer,2050,7,13,18,0.34976056088330393
108,BG_electrolyzer,2050,7,19,24,0.45683012033737647
109,BG_electrolyzer,2050,8,1,6,0.3565
110,BG_electrolyzer,2050,8,7,12,-0.0
111,BG_electrolyzer,2050,8,13,18,-0.0
112,BG_electrolyzer,2050,8,19,24,0.35650000000000004
113,BG_electrolyzer,2050,9,1,6,1.3975000000000002
114,BG_electrolyzer,2050,9,7,12,-0.0
115,BG_electrolyzer,2050,9,13,18,-0.0
116,BG_electrolyzer,2050,9,19,24,1.3974999999999995
117,BG_electrolyzer,2050,10,1,6,1.495
118,BG_electrolyzer,2050,10,7,12,1.3964285714285716
119,BG_electrolyzer,2050,10,13,18,1.3964285714285716
120,BG_electrolyzer,2050,10,19,24,1.495
121,CH_electrolyzer,2050,1,1,6,1.7225000000000001
122,CH_electrolyzer,2050,1,7,12,1.5709630625
123,CH_electrolyzer,2050,1,13,18,1.5709630625
124,CH_electrolyzer,2050,1,19,24,1.7225000000000001
125,CH_electrolyzer,2050,2,1,6,0.3795
126,CH_electrolyzer,2050,2,7,12,0.34611348750000004
127,CH_electrolyzer,2050,2,13,18,0.34611348750000004
128,CH_electrolyzer,2050,2,19,24,0.3795
129,CH_electrolyzer,2050,3,1,6,0.9425000000000002
130,CH_electrolyzer,2050,3,7,12,0.9425000000000001
131,CH_electrolyzer,2050,3,13,18,0.9425000000000001
132,CH_electrolyzer,2050,3,19,24,0.9425000000000001
133,CH_electrolyzer,2050,4,1,6,-0.0
134,CH_electrolyzer,2050,4,7,12,-0.0
135,CH_electrolyzer,2050,4,13,18,-0.0
136,CH_electrolyzer,2050,4,19,24,-0.0
137,CH_electrolyzer,2050,5,1,6,0.5942407319270429
138,CH_electrolyzer,2050,5,7,12,0.5942407319270429
139,CH_electrolyzer,2050,5,13,18,0.5942407319270429
140,CH_electrolyzer,2050,5,19,24,0.5942407319270429
141,CH_electrolyzer,2050,6,1,6,-0.0
142,CH_electrolyzer,2050,6,7,12,-0.0
143,CH_electrolyzer,2050,6,13,18,-0.0
144,CH_electrolyzer,2050,6,19,24,-0.0
145,CH_electrolyzer,2050,7,1,6,1.2025000000000001
146,CH_electrolyzer,2050,7,7,12,1.0967100625000001
147,CH_electrolyzer,2050,7,13,18,1.0967100625000001
148,CH_electrolyzer,2050,7,19,24,1.2025000000000001
149,CH_electrolyzer,2050,8,1,6,-0.0
150,CH_electrolyzer,2050,8,7,12,-0.0
151,CH_electrolyzer,2050,8,13,18,-0.0
152,CH_electrolyzer,2050,8,19,24,-0.0
153,CH_electrolyzer,2050,9,1,6,1.0944937021204275
154,CH_electrolyzer,2050,9,7,12,1.0944937021204275
155,CH_electrolyzer,2050,9,13,18,1.0944937021204275
156,CH_electrolyzer,2050,9,19,24,1.3975000000000002
157,CH_electrolyzer,2050,10,1,6,1.5797056133540368
158,CH_electrolyzer,2050,10,7,12,1.6392094514952993
159,CH_electrolyzer,2050,10,13,18,1.495
160,CH_electrolyzer,2050,10,19,24,1.639209451495299
161,CY_electrolyzer,2050,1,1,6,-0.0
162,CY_electrolyzer,2050,1,7,12,-0.0
163,CY_electrolyzer,2050,1,13,18,-0.0
164,CY_electrolyzer,2050,1,19,24,-0.0
165,CY_electrolyzer,2050,2,1,6,-0.0
166,CY_electrolyzer,2050,2,7,12,-0.0
167,CY_electrolyzer,2050,2,13,18,-0.0
168,CY_electrolyzer,2050,2,19,24,-0.0
169,CY_electrolyzer,2050,3,1,6,0.9425000000000001
170,CY_electrolyzer,2050,3,7,12,0.8595835625000001
171,CY_electrolyzer,2050,3,13,18,0.8595835625000001
172,CY_electrolyzer,2050,3,19,24,0.9425000000000001
173,CY_electrolyzer,2050,4,1,6,-0.0
174,CY_electrolyzer,2050,4,7,12,-0.0
175,CY_electrolyzer,2050,4,13,18,-0.0
176,CY_electrolyzer,2050,4,19,24,-0.0
177,CY_electrolyzer,2050,5,1,6,-0.0
178,CY_electrolyzer,2050,5,7,12,-0.0
179,CY_electrolyzer,2050,5,13,18,-0.0
180,CY_electrolyzer,2050,5,19,24,-0.0
181,CY_electrolyzer,2050,6,1,6,-0.0
182,CY_electrolyzer,2050,6,7,12,-0.0
183,CY_electrolyzer,2050,6,13,18,-0.0
184,CY_electrolyzer,2050,6,19,24,-0.0
185,CY_electrolyzer,2050,7,1,6,-0.0
186,CY_electrolyzer,2050,7,7,12,-0.0
187,CY_electrolyzer,2050,7,13,18,-0.0
188,CY_electrolyzer,2050,7,19,24,-0.0
189,CY_electrolyzer,2050,8,1,6,-0.0
190,CY_electrolyzer,2050,8,7,12,-0.0
191,CY_electrolyzer,2050,8,13,18,-0.0
192,CY_electrolyzer,2050,8,19,24,-0.0
193,CY_electrolyzer,2050,9,1,6,-0.0
194,CY_electrolyzer,2050,9,7,12,-0.0
195,CY_electrolyzer,2050,9,13,18,-0.0
196,CY_electrolyzer,2050,9,19,24,-0.0
197,CY_electrolyzer,2050,10,1,6,0.13464285714285712
198,CY_electrolyzer,2050,10,7,12,0.12279765178571429
199,CY_electrolyzer,2050,10,13,18,0.12279765178571429
200,CY_electrolyzer,2050,10,19,24,0.13464285714285712
201,CZ_electrolyzer,2050,1,1,6,1.7225000000000001
202,CZ_electrolyzer,2050,1,7,12,1.7225000000000001
203,CZ_electrolyzer,2050,1,13,18,0.6095
204,CZ_electrolyzer,2050,1,19,24,1.7225000000000001
205,CZ_electrolyzer,2050,2,1,6,0.3795
206,CZ_electrolyzer,2050,2,7,12,-0.0
207,CZ_electrolyzer,2050,2,13,18,-0.0
208,CZ_electrolyzer,2050,2,19,24,0.3795
209,CZ_electrolyzer,2050,3,1,6,0.9425000000000001
210,CZ_electrolyzer,2050,3,7,12,0.9425000000000001
211,CZ_electrolyzer,2050,3,13,18,0.9425000000000001
212,CZ_electrolyzer,2050,3,19,24,0.9425000000000002
213,CZ_electrolyzer,2050,4,1,6,0.7475
214,CZ_electrolyzer,2050,4,7,12,0.7475
215,CZ_electrolyzer,2050,4,13,18,0.7475
216,CZ_electrolyzer,2050,4,19,24,0.7475
217,CZ_electrolyzer,2050,5,1,6,0.598
218,CZ_electrolyzer,2050,5,7,12,0.598
219,CZ_electrolyzer,2050,5,13,18,0.598
220,CZ_electrolyzer,2050,5,19,24,0.598
221,CZ_electrolyzer,2050,6,1,6,0.5850000000000001
222,CZ_electrolyzer,2050,6,7,12,0.207
223,CZ_electrolyzer,2050,6,13,18,-0.0
224,CZ_electrolyzer,2050,6,19,24,0.5850000000000001
225,CZ_electrolyzer,2050,7,1,6,1.2025000000000003
226,CZ_electrolyzer,2050,7,7,12,1.2025000000000003
227,CZ_electrolyzer,2050,7,13,18,1.2025000000000003
228,CZ_electrolyzer,2050,7,19,24,1.2025000000000001
229,CZ_electrolyzer,2050,8,1,6,1.0075000000000003
230,CZ_electrolyzer,2050,8,7,12,-0.0
231,CZ_electrolyzer,2050,8,13,18,-0.0
232,CZ_electrolyzer,2050,8,19,24,1.0075000000000003
233,CZ_electrolyzer,2050,9,1,6,0.4945
234,CZ_electrolyzer,2050,9,7,12,-0.0
235,CZ_electrolyzer,2050,9,13,18,-0.0
236,CZ_electrolyzer,2050,9,19,24,0.4945
237,CZ_electrolyzer,2050,10,1,6,1.9526530612244897
238,CZ_electrolyzer,2050,10,7,12,1.495
239,CZ_electrolyzer,2050,10,13,18,1.495
240,CZ_electrolyzer,2050,10,19,24,1.9526530612244901
241,DE_electrolyzer,2050,1,1,6,1.7225000000000001
242,DE_electrolyzer,2050,1,7,12,1.7225000000000001
243,DE_electrolyzer,2050,1,13,18,-0.0
244,DE_electrolyzer,2050,1,19,24,1.7225000000000001
245,DE_electrolyzer,2050,2,1,6,-0.0
246,DE_electrolyzer,2050,2,7,12,-0.0
247,DE_electrolyzer,2050,2,13,18,-0.0
248,DE_electrolyzer,2050,2,19,24,-0.0
249,DE_electrolyzer,2050,3,1,6,-0.0
250,DE_electrolyzer,2050,3,7,12,-0.0
251,DE_electrolyzer,2050,3,13,18,-0.0
252,DE_electrolyzer,2050,3,19,24,-0.0
253,DE_electrolyzer,2050,4,1,6,-0.0
254,DE_electrolyzer,2050,4,7,12,-0.0
255,DE_electrolyzer,2050,4,13,18,-0.0
256,DE_electrolyzer,2050,4,19,24,-0.0
257,DE_electrolyzer,2050,5,1,6,-0.0
258,DE_electrolyzer,2050,5,7,12,-0.0
259,DE_electrolyzer,2050,5,13,18,-0.0
260,DE_electrolyzer,2050,5,19,24,-0.0
261,DE_electrolyzer,2050,6,1,6,0.5850000000000001
262,DE_electrolyzer,2050,6,7,12,0.207
263,DE_electrolyzer,2050,6,13,18,-0.0
264,DE_electrolyzer,2050,6,19,24,0.5850000000000001
265,DE_electrolyzer,2050,7,1,6,1.2025000000000001
266,DE_electrolyzer,2050,7,7,12,1.2024999999999957
267,DE_electrolyzer,2050,7,13,18,1.2025000000000003
268,DE_electrolyzer,2050,7,19,24,37.0
269,DE_electrolyzer,2050,8,1,6,-0.0
270,DE_electrolyzer,2050,8,7,12,-0.0
271,DE_electrolyzer,2050,8,13,18,-0.0
272,DE_electrolyzer,2050,8,19,24,-0.0
273,DE_electrolyzer,2050,9,1,6,-0.0
274,DE_electrolyzer,2050,9,7,12,-0.0
275,DE_electrolyzer,2050,9,13,18,-0.0
276,DE_electrolyzer,2050,9,19,24,-0.0
277,DE_electrolyzer,2050,10,1,6,148.28044459375008
278,DE_electrolyzer,2050,10,7,12,162.58375000000007
279,DE_electrolyzer,2050,10,13,18,162.58375000000007
280,DE_electrolyzer,2050,10,19,24,148.28044459375008
281,DK_electrolyzer,2050,1,1,6,1.7225000000000001
282,DK_electrolyzer,2050,1,7,12,1.7225000000000001
283,DK_electrolyzer,2050,1,13,18,1.7225000000000001
284,DK_electrolyzer,2050,1,19,24,1.7225000000000001
285,DK_electrolyzer,2050,2,1,6,-0.0
286,DK_electrolyzer,2050,2,7,12,-0.0
287,DK_electrolyzer,2050,2,13,18,-0.0
288,DK_electrolyzer,2050,2,19,24,-0.0
289,DK_electrolyzer,2050,3,1,6,-0.0
290,DK_electrolyzer,2050,3,7,12,-0.0
291,DK_electrolyzer,2050,3,13,18,-0.0
292,DK_electrolyzer,2050,3,19,24,-0.0
293,DK_electrolyzer,2050,4,1,6,-0.0
294,DK_electrolyzer,2050,4,7,12,-0.0
295,DK_electrolyzer,2050,4,13,18,-0.0
296,DK_electrolyzer,2050,4,19,24,-0.0
297,DK_electrolyzer,2050,5,1,6,-0.0
298,DK_electrolyzer,2050,5,7,12,-0.0
299,DK_electrolyzer,2050,5,13,18,-0.0
300,DK_electrolyzer,2050,5,19,24,-0.0
301,DK_electrolyzer,2050,6,1,6,0.5850000000000001
302,DK_electrolyzer,2050,6,7,12,0.207
303,DK_electrolyzer,2050,6,13,18,-0.0
304,DK_electrolyzer,2050,6,19,24,0.5850000000000001
305,DK_electrolyzer,2050,7,1,6,1.2025000000000003
306,DK_electrolyzer,2050,7,7,12,1.2024999999999957
307,DK_electrolyzer,2050,7,13,18,1.2025000000000001
308,DK_electrolyzer,2050,7,19,24,37.0
309,DK_electrolyzer,2050,8,1,6,-0.0
310,DK_electrolyzer,2050,8,7,12,-0.0
311,DK_electrolyzer,2050,8,13,18,-0.0
312,DK_electrolyzer,2050,8,19,24,-0.0
313,DK_electrolyzer,2050,9,1,6,-0.0
314,DK_electrolyzer,2050,9,7,12,-0.0
315,DK_electrolyzer,2050,9,13,18,-0.0
316,DK_electrolyzer,2050,9,19,24,-0.0
317,DK_electrolyzer,2050,10,1,6,148.28044459375008
318,DK_electrolyzer,2050,10,7,12,162.58375000000007
319,DK_electrolyzer,2050,10,13,18,162.58375000000007
320,DK_electrolyzer,2050,10,19,24,148.28044459375008
321,EE_electrolyzer,2050,1,1,6,-0.0
322,EE_electrolyzer,2050,1,7,12,-0.0
323,EE_electrolyzer,2050,1,13,18,-0.0
324,EE_electrolyzer,2050,1,19,24,0.6095
325,EE_electrolyzer,2050,2,1,6,-0.0
326,EE_electrolyzer,2050,2,7,12,-0.0
327,EE_electrolyzer,2050,2,13,18,-0.0
328,EE_electrolyzer,2050,2,19,24,-0.0
329,EE_electrolyzer,2050,3,1,6,-0.0
330,EE_electrolyzer,2050,3,7,12,-0.0
331,EE_electrolyzer,2050,3,13,18,-0.0
332,EE_electrolyzer,2050,3,19,24,-0.0
333,EE_electrolyzer,2050,4,1,6,-0.0
334,EE_electrolyzer,2050,4,7,12,-0.0
335,EE_electrolyzer,2050,4,13,18,-0.0
336,EE_electrolyzer,2050,4,19,24,-0.0
337,EE_electrolyzer,2050,5,1,6,-0.0
338,EE_electrolyzer,2050,5,7,12,-0.0
339,EE_electrolyzer,2050,5,13,18,-0.0
340,EE_electrolyzer,2050,5,19,24,-0.0
341,EE_electrolyzer,2050,6,1,6,-0.0
342,EE_electrolyzer,2050,6,7,12,-0.0
343,EE_electrolyzer,2050,6,13,18,-0.0
