id,asset,year,period_block_start,period_block_end,solution
1,AT_Hydro_Reservoir,2050,1,6,393395.0913533081
2,AT_Hydro_Reservoir,2050,7,12,407579.79295218503
3,AT_Hydro_Reservoir,2050,13,18,408846.4943971679
4,AT_Hydro_Reservoir,2050,19,24,368832.693395789
5,AT_Hydro_Reservoir,2050,25,30,383303.0235630518
6,AT_Hydro_Reservoir,2050,31,36,369401.04194962705
7,AT_Hydro_Reservoir,2050,37,42,372300.9034964949
8,AT_Hydro_Reservoir,2050,43,48,334823.41396801535
9,AT_Hydro_Reservoir,2050,49,54,350853.6562618
10,AT_Hydro_Reservoir,2050,55,60,365111.60583604005
11,AT_Hydro_Reservoir,2050,61,66,379794.3165963255
12,AT_Hydro_Reservoir,2050,67,72,343229.78792708
13,AT_Hydro_Reservoir,2050,73,78,306186.8690728656
14,AT_Hydro_Reservoir,2050,79,84,281849.56977952254
15,AT_Hydro_Reservoir,2050,85,90,297667.4314802845
16,AT_Hydro_Reservoir,2050,91,96,302625.21431508276
17,AT_Hydro_Reservoir,2050,97,102,265848.3050528146
18,AT_Hydro_Reservoir,2050,103,108,230206.54673102294
19,AT_Hydro_Reservoir,2050,109,114,180724.0179078834
20,AT_Hydro_Reservoir,2050,115,120,249360.02464542724
21,AT_Hydro_Reservoir,2050,121,126,320758.796565434
22,AT_Hydro_Reservoir,2050,127,132,392625.70260530134
23,AT_Hydro_Reservoir,2050,133,138,463556.3404054475
24,AT_Hydro_Reservoir,2050,139,144,533082.5758460122
25,AT_Hydro_Reservoir,2050,145,150,603545.0795262979
26,AT_Hydro_Reservoir,2050,151,156,675411.9855661652
27,AT_Hydro_Reservoir,2050,157,162,727781.2903525606
28,AT_Hydro_Reservoir,2050,163,168,757000.0
29,AT_Hydro_Reservoir,2050,169,174,749050.0040832378
30,AT_Hydro_Reservoir,2050,175,180,722070.5410328644
31,AT_Hydro_Reservoir,2050,181,186,676951.8395519005
32,AT_Hydro_Reservoir,2050,187,192,722529.3302238896
33,AT_Hydro_Reservoir,2050,193,198,677410.6287429257
34,AT_Hydro_Reservoir,2050,199,204,686709.6425537335
35,AT_Hydro_Reservoir,2050,205,210,732287.1332257226
36,AT_Hydro_Reservoir,2050,211,216,723446.9086059398
37,AT_Hydro_Reservoir,2050,217,222,678328.207124976
38,AT_Hydro_Reservoir,2050,223,228,669487.9825051932
39,AT_Hydro_Reservoir,2050,229,234,660647.7578854106
40,AT_Hydro_Reservoir,2050,235,240,724364.4869879902
41,AT_Hydro_Reservoir,2050,241,246,712490.1627276203
42,AT_Hydro_Reservoir,2050,247,252,739928.4149690188
43,AT_Hydro_Reservoir,2050,253,258,757000.0
44,AT_Hydro_Reservoir,2050,259,264,705415.7303782263
45,AT_Hydro_Reservoir,2050,265,270,652430.3002240297
46,AT_Hydro_Reservoir,2050,271,276,629928.7321373746
47,AT_Hydro_Reservoir,2050,277,282,606149.7878903972
48,AT_Hydro_Reservoir,2050,283,288,575038.2760735899
49,AT_Hydro_Reservoir,2050,289,294,529385.4134892233
50,AT_Hydro_Reservoir,2050,295,300,476878.3735199958
51,AT_Hydro_Reservoir,2050,301,306,425294.10389822203
