id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
1,AT_E_ENS,2050,1,1,6,0.0
2,AT_E_ENS,2050,1,7,12,0.0
3,AT_E_ENS,2050,1,13,18,0.0
4,AT_E_ENS,2050,1,19,24,0.0
5,AT_E_ENS,2050,2,1,6,0.0
6,AT_E_ENS,2050,2,7,12,0.0
7,AT_E_ENS,2050,2,13,18,0.0
8,AT_E_ENS,2050,2,19,24,0.0
9,AT_E_ENS,2050,3,1,6,0.0
10,AT_E_ENS,2050,3,7,12,0.0
11,AT_E_ENS,2050,3,13,18,0.0
12,AT_E_ENS,2050,3,19,24,0.0
13,AT_E_ENS,2050,4,1,6,0.0
14,AT_E_ENS,2050,4,7,12,0.0
15,AT_E_ENS,2050,4,13,18,0.0
16,AT_E_ENS,2050,4,19,24,0.0
17,AT_E_ENS,2050,5,1,6,0.0
18,AT_E_ENS,2050,5,7,12,0.0
19,AT_E_ENS,2050,5,13,18,0.0
20,AT_E_ENS,2050,5,19,24,0.0
21,AT_E_ENS,2050,6,1,6,0.0
22,AT_E_ENS,2050,6,7,12,0.0
23,AT_E_ENS,2050,6,13,18,0.0
24,AT_E_ENS,2050,6,19,24,0.0
25,AT_E_ENS,2050,7,1,6,0.0
26,AT_E_ENS,2050,7,7,12,0.0
27,AT_E_ENS,2050,7,13,18,0.0
28,AT_E_ENS,2050,7,19,24,0.0
29,AT_E_ENS,2050,8,1,6,0.0
30,AT_E_ENS,2050,8,7,12,0.0
31,AT_E_ENS,2050,8,13,18,0.0
32,AT_E_ENS,2050,8,19,24,0.0
33,AT_E_ENS,2050,9,1,6,0.0
34,AT_E_ENS,2050,9,7,12,0.0
35,AT_E_ENS,2050,9,13,18,0.0
36,AT_E_ENS,2050,9,19,24,0.0
37,AT_E_ENS,2050,10,1,6,0.0
38,AT_E_ENS,2050,10,7,12,0.0
39,AT_E_ENS,2050,10,13,18,0.0
40,AT_E_ENS,2050,10,19,24,0.0
41,AT_Gas,2050,1,1,6,0.0
42,AT_Gas,2050,1,7,12,0.0
