id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_shut_down_lower_bound
1,AT_Gas,2050,1,7,12,2,0.0
2,AT_Gas,2050,1,13,18,3,0.0
3,AT_Gas,2050,1,19,24,4,0.0
4,AT_Gas,2050,2,1,6,5,0.0
5,AT_Gas,2050,2,7,12,6,0.0
6,AT_Gas,2050,2,13,18,7,0.0
7,AT_Gas,2050,2,19,24,8,0.0
8,AT_Gas,2050,3,1,6,9,0.0
9,AT_Gas,2050,3,7,12,10,0.0
10,AT_Gas,2050,3,13,18,11,0.0
11,AT_Gas,2050,3,19,24,12,0.0
12,AT_Gas,2050,4,1,6,13,0.0
13,AT_Gas,2050,4,7,12,14,0.0
14,AT_Gas,2050,4,13,18,15,0.0
15,AT_Gas,2050,4,19,24,16,0.0
16,AT_Gas,2050,5,1,6,17,0.0
17,AT_Gas,2050,5,7,12,18,0.0
18,AT_Gas,2050,5,13,18,19,0.0
19,AT_Gas,2050,5,19,24,20,0.0
20,AT_Gas,2050,6,1,6,21,0.0
21,AT_Gas,2050,6,7,12,22,0.0
22,AT_Gas,2050,6,13,18,23,0.0
23,AT_Gas,2050,6,19,24,24,0.0
24,AT_Gas,2050,7,1,6,25,0.0
25,AT_Gas,2050,7,7,12,26,0.0
26,AT_Gas,2050,7,13,18,27,0.0
27,AT_Gas,2050,7,19,24,28,0.0
28,AT_Gas,2050,8,1,6,29,0.0
29,AT_Gas,2050,8,7,12,30,0.0
30,AT_Gas,2050,8,13,18,31,0.0
31,AT_Gas,2050,8,19,24,32,0.0
32,AT_Gas,2050,9,1,6,33,0.0
33,AT_Gas,2050,9,7,12,34,0.0
34,AT_Gas,2050,9,13,18,35,0.0
35,AT_Gas,2050,9,19,24,36,0.0
36,AT_Gas,2050,10,1,6,37,0.0
37,AT_Gas,2050,10,7,12,38,0.0
38,AT_Gas,2050,10,13,18,39,0.0
39,AT_Gas,2050,10,19,24,40,0.0
40,BE_Gas,2050,1,7,12,2,0.0
41,BE_Gas,2050,1,13,18,3,0.0
42,BE_Gas,2050,1,19,24,4,0.0
43,BE_Gas,2050,2,1,6,5,0.0
44,BE_Gas,2050,2,7,12,6,0.0
45,BE_Gas,2050,2,13,18,7,0.0
46,BE_Gas,2050,2,19,24,8,0.0
47,BE_Gas,2050,3,1,6,9,0.0
48,BE_Gas,2050,3,7,12,10,0.0
49,BE_Gas,2050,3,13,18,11,0.0
50,BE_Gas,2050,3,19,24,12,0.0
51,BE_Gas,2050,4,1,6,13,0.0
52,BE_Gas,2050,4,7,12,14,0.0
53,BE_Gas,2050,4,13,18,15,0.0
54,BE_Gas,2050,4,19,24,16,0.0
55,BE_Gas,2050,5,1,6,17,0.0
56,BE_Gas,2050,5,7,12,18,0.0
57,BE_Gas,2050,5,13,18,19,0.0
58,BE_Gas,2050,5,19,24,20,0.0
59,BE_Gas,2050,6,1,6,21,0.0
60,BE_Gas,2050,6,7,12,22,0.0
61,BE_Gas,2050,6,13,18,23,0.0
62,BE_Gas,2050,6,19,24,24,0.0
63,BE_Gas,2050,7,1,6,25,0.0
64,BE_Gas,2050,7,7,12,26,0.0
65,BE_Gas,2050,7,13,18,27,0.0
66,BE_Gas,2050,7,19,24,28,0.0
67,BE_Gas,2050,8,1,6,29,0.0
68,BE_Gas,2050,8,7,12,30,0.0
69,BE_Gas,2050,8,13,18,31,0.0
70,BE_Gas,2050,8,19,24,32,0.0
71,BE_Gas,2050,9,1,6,33,0.0
72,BE_Gas,2050,9,7,12,34,0.0
73,BE_Gas,2050,9,13,18,35,0.0
74,BE_Gas,2050,9,19,24,36,0.0
75,BE_Gas,2050,10,1,6,37,0.0
76,BE_Gas,2050,10,7,12,38,0.0
77,BE_Gas,2050,10,13,18,39,0.0
78,BE_Gas,2050,10,19,24,40,0.0
79,BE_OCGT,2050,1,7,12,2,0.0
80,BE_OCGT,2050,1,13,18,3,0.0
81,BE_OCGT,2050,1,19,24,4,0.0
82,BE_OCGT,2050,2,1,6,5,0.0
83,BE_OCGT,2050,2,7,12,6,0.0
84,BE_OCGT,2050,2,13,18,7,0.0
85,BE_OCGT,2050,2,19,24,8,0.0
86,BE_OCGT,2050,3,1,6,9,0.0
87,BE_OCGT,2050,3,7,12,10,0.0
88,BE_OCGT,2050,3,13,18,11,0.0
89,BE_OCGT,2050,3,19,24,12,0.0
90,BE_OCGT,2050,4,1,6,13,0.0
91,BE_OCGT,2050,4,7,12,14,0.0
92,BE_OCGT,2050,4,13,18,15,0.0
93,BE_OCGT,2050,4,19,24,16,0.0
94,BE_OCGT,2050,5,1,6,17,0.0
95,BE_OCGT,2050,5,7,12,18,0.0
96,BE_OCGT,2050,5,13,18,19,0.0
97,BE_OCGT,2050,5,19,24,20,0.0
98,BE_OCGT,2050,6,1,6,21,0.0
99,BE_OCGT,2050,6,7,12,22,0.0
100,BE_OCGT,2050,6,13,18,23,0.0
101,BE_OCGT,2050,6,19,24,24,0.0
102,BE_OCGT,2050,7,1,6,25,0.0
103,BE_OCGT,2050,7,7,12,26,0.0
104,BE_OCGT,2050,7,13,18,27,0.0
105,BE_OCGT,2050,7,19,24,28,0.0
106,BE_OCGT,2050,8,1,6,29,0.0
107,BE_OCGT,2050,8,7,12,30,0.0
108,BE_OCGT,2050,8,13,18,31,0.0
109,BE_OCGT,2050,8,19,24,32,0.0
110,BE_OCGT,2050,9,1,6,33,0.0
111,BE_OCGT,2050,9,7,12,34,0.0
112,BE_OCGT,2050,9,13,18,35,0.0
113,BE_OCGT,2050,9,19,24,36,0.0
114,BE_OCGT,2050,10,1,6,37,0.0
115,BE_OCGT,2050,10,7,12,38,0.0
116,BE_OCGT,2050,10,13,18,39,0.0
117,BE_OCGT,2050,10,19,24,40,0.0
118,BG_Coal,2050,1,7,12,2,0.0
119,BG_Coal,2050,1,13,18,3,0.0
120,BG_Coal,2050,1,19,24,4,0.0
121,BG_Coal,2050,2,1,6,5,0.0
122,BG_Coal,2050,2,7,12,6,0.0
123,BG_Coal,2050,2,13,18,7,0.0
124,BG_Coal,2050,2,19,24,8,0.0
125,BG_Coal,2050,3,1,6,9,0.0
126,BG_Coal,2050,3,7,12,10,0.0
127,BG_Coal,2050,3,13,18,11,0.0
128,BG_Coal,2050,3,19,24,12,0.0
129,BG_Coal,2050,4,1,6,13,0.0
130,BG_Coal,2050,4,7,12,14,0.0
131,BG_Coal,2050,4,13,18,15,0.0
132,BG_Coal,2050,4,19,24,16,0.0
133,BG_Coal,2050,5,1,6,17,0.0
134,BG_Coal,2050,5,7,12,18,0.0
135,BG_Coal,2050,5,13,18,19,0.0
136,BG_Coal,2050,5,19,24,20,0.0
137,BG_Coal,2050,6,1,6,21,0.0
138,BG_Coal,2050,6,7,12,22,0.0
139,BG_Coal,2050,6,13,18,23,0.0
140,BG_Coal,2050,6,19,24,24,0.0
141,BG_Coal,2050,7,1,6,25,0.0
142,BG_Coal,2050,7,7,12,26,0.0
143,BG_Coal,2050,7,13,18,27,0.0
144,BG_Coal,2050,7,19,24,28,0.0
145,BG_Coal,2050,8,1,6,29,0.0
146,BG_Coal,2050,8,7,12,30,0.0
147,BG_Coal,2050,8,13,18,31,0.0
148,BG_Coal,2050,8,19,24,32,0.0
149,BG_Coal,2050,9,1,6,33,0.0
150,BG_Coal,2050,9,7,12,34,0.0
151,BG_Coal,2050,9,13,18,35,0.0
152,BG_Coal,2050,9,19,24,36,0.0
153,BG_Coal,2050,10,1,6,37,0.0
154,BG_Coal,2050,10,7,12,38,0.0
155,BG_Coal,2050,10,13,18,39,0.0
156,BG_Coal,2050,10,19,24,40,0.0
157,BG_Gas,2050,1,7,12,2,0.0
158,BG_Gas,2050,1,13,18,3,0.0
159,BG_Gas,2050,1,19,24,4,0.0
160,BG_Gas,2050,2,1,6,5,0.0
161,BG_Gas,2050,2,7,12,6,0.0
162,BG_Gas,2050,2,13,18,7,0.0
163,BG_Gas,2050,2,19,24,8,0.0
164,BG_Gas,2050,3,1,6,9,0.0
165,BG_Gas,2050,3,7,12,10,0.0
166,BG_Gas,2050,3,13,18,11,0.0
167,BG_Gas,2050,3,19,24,12,0.0
168,BG_Gas,2050,4,1,6,13,0.0
169,BG_Gas,2050,4,7,12,14,0.0
170,BG_Gas,2050,4,13,18,15,0.0
171,BG_Gas,2050,4,19,24,16,0.0
172,BG_Gas,2050,5,1,6,17,0.0
173,BG_Gas,2050,5,7,12,18,0.0
174,BG_Gas,2050,5,13,18,19,0.0
175,BG_Gas,2050,5,19,24,20,0.0
176,BG_Gas,2050,6,1,6,21,0.0
177,BG_Gas,2050,6,7,12,22,0.0
178,BG_Gas,2050,6,13,18,23,0.0
179,BG_Gas,2050,6,19,24,24,0.0
180,BG_Gas,2050,7,1,6,25,0.0
181,BG_Gas,2050,7,7,12,26,0.0
182,BG_Gas,2050,7,13,18,27,0.0
183,BG_Gas,2050,7,19,24,28,0.0
184,BG_Gas,2050,8,1,6,29,0.0
185,BG_Gas,2050,8,7,12,30,0.0
186,BG_Gas,2050,8,13,18,31,0.0
187,BG_Gas,2050,8,19,24,32,0.0
188,BG_Gas,2050,9,1,6,33,0.0
189,BG_Gas,2050,9,7,12,34,0.0
190,BG_Gas,2050,9,13,18,35,0.0
191,BG_Gas,2050,9,19,24,36,0.0
192,BG_Gas,2050,10,1,6,37,0.0
193,BG_Gas,2050,10,7,12,38,0.0
194,BG_Gas,2050,10,13,18,39,0.0
195,BG_Gas,2050,10,19,24,40,0.0
196,BG_Nuclear,2050,1,7,12,2,0.0
197,BG_Nuclear,2050,1,13,18,3,0.0
198,BG_Nuclear,2050,1,19,24,4,0.0
199,BG_Nuclear,2050,2,1,6,5,0.0
200,BG_Nuclear,2050,2,7,12,6,0.0
201,BG_Nuclear,2050,2,13,18,7,0.0
202,BG_Nuclear,2050,2,19,24,8,0.0
