id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,NL_E_Balance,BE_E_Balance,2050,1,1,6,1333,0.0,-0.0
2,NL_E_Balance,BE_E_Balance,2050,1,7,12,1334,0.0,-0.0
3,NL_E_Balance,BE_E_Balance,2050,1,13,18,1335,0.0,21.942
4,NL_E_Balance,BE_E_Balance,2050,1,19,24,1336,-1845.99,0.0
5,DE_E_Balance,NL_E_Balance,2050,1,1,6,1337,0.0,-0.0
6,DE_E_Balance,NL_E_Balance,2050,1,7,12,1338,-1845.99,0.0
7,DE_E_Balance,NL_E_Balance,2050,1,13,18,1339,-21.942,0.0
8,DE_E_Balance,NL_E_Balance,2050,1,19,24,1340,0.0,0.0
9,DE_E_Balance,BE_E_Balance,2050,1,1,6,1341,0.0,-0.0
10,DE_E_Balance,BE_E_Balance,2050,1,7,12,1342,-1845.99,0.0
11,DE_E_Balance,BE_E_Balance,2050,1,13,18,1343,0.0,-0.0
12,DE_E_Balance,BE_E_Balance,2050,1,19,24,1344,-1845.99,0.0
13,FR_E_Balance,DE_E_Balance,2050,1,1,6,1345,-1845.99,0.0
14,FR_E_Balance,DE_E_Balance,2050,1,7,12,1346,0.0,1845.99
15,FR_E_Balance,DE_E_Balance,2050,1,13,18,1347,0.0,1908.0
16,FR_E_Balance,DE_E_Balance,2050,1,19,24,1348,0.0,1845.99
17,FR_E_Balance,BE_E_Balance,2050,1,1,6,1349,-1845.99,0.0
18,FR_E_Balance,BE_E_Balance,2050,1,7,12,1350,0.0,-0.0
19,FR_E_Balance,BE_E_Balance,2050,1,13,18,1351,0.0,1908.0
20,FR_E_Balance,BE_E_Balance,2050,1,19,24,1352,0.0,0.0
21,DK_E_Balance,NL_E_Balance,2050,1,1,6,1357,0.0,0.0
22,DK_E_Balance,NL_E_Balance,2050,1,7,12,1358,-1845.99,0.0
23,DK_E_Balance,NL_E_Balance,2050,1,13,18,1359,0.0,0.0
24,DK_E_Balance,NL_E_Balance,2050,1,19,24,1360,0.0,0.0
25,UK_E_Balance,BE_E_Balance,2050,1,1,6,1361,-1908.0,0.0
26,UK_E_Balance,BE_E_Balance,2050,1,7,12,1362,0.0,-0.0
27,UK_E_Balance,BE_E_Balance,2050,1,13,18,1363,0.0,21.942
28,UK_E_Balance,BE_E_Balance,2050,1,19,24,1364,-1845.99,0.0
29,UK_E_Balance,DK_E_Balance,2050,1,1,6,1365,-1908.0,0.0
30,UK_E_Balance,DK_E_Balance,2050,1,7,12,1366,0.0,1845.99
31,UK_E_Balance,DK_E_Balance,2050,1,13,18,1367,0.0,-0.0
32,UK_E_Balance,DK_E_Balance,2050,1,19,24,1368,0.0,-0.0
33,UK_E_Balance,NL_E_Balance,2050,1,1,6,1369,-1908.0,0.0
34,UK_E_Balance,NL_E_Balance,2050,1,7,12,1370,0.0,-0.0
35,UK_E_Balance,NL_E_Balance,2050,1,13,18,1371,0.0,0.0
36,UK_E_Balance,NL_E_Balance,2050,1,19,24,1372,0.0,-0.0
37,IE_E_Balance,UK_E_Balance,2050,1,1,6,1373,0.0,-0.0
38,IE_E_Balance,UK_E_Balance,2050,1,7,12,1374,-1908.0,0.0
39,IE_E_Balance,UK_E_Balance,2050,1,13,18,1375,-21.942,0.0
40,IE_E_Balance,UK_E_Balance,2050,1,19,24,1376,-62.01000000000002,0.0
41,IE_E_Balance,FR_E_Balance,2050,1,1,6,1377,-62.01000000000002,0.0
42,IE_E_Balance,FR_E_Balance,2050,1,7,12,1378,-1908.0,0.0
43,IE_E_Balance,FR_E_Balance,2050,1,13,18,1379,-1908.0,0.0
44,IE_E_Balance,FR_E_Balance,2050,1,19,24,1380,-1908.0,0.0
45,CH_E_Balance,DE_E_Balance,2050,1,1,6,1381,-1845.99,0.0
46,CH_E_Balance,DE_E_Balance,2050,1,7,12,1382,-62.01000000000002,0.0
47,CH_E_Balance,DE_E_Balance,2050,1,13,18,1383,0.0,-0.0
48,CH_E_Balance,DE_E_Balance,2050,1,19,24,1384,0.0,0.0
49,CH_E_Balance,FR_E_Balance,2050,1,1,6,1385,0.0,0.0
50,CH_E_Balance,FR_E_Balance,2050,1,7,12,1386,-1908.0,0.0
51,CH_E_Balance,FR_E_Balance,2050,1,13,18,1387,-1908.0,0.0
52,CH_E_Balance,FR_E_Balance,2050,1,19,24,1388,-1845.99,0.0
53,AT_E_Balance,CH_E_Balance,2050,1,1,6,1389,0.0,0.0
54,AT_E_Balance,CH_E_Balance,2050,1,7,12,1390,-0.0,0.0
55,AT_E_Balance,CH_E_Balance,2050,1,13,18,1391,-0.0,0.0
56,AT_E_Balance,CH_E_Balance,2050,1,19,24,1392,0.0,-0.0
57,AT_E_Balance,DE_E_Balance,2050,1,1,6,1393,-1845.99,0.0
58,AT_E_Balance,DE_E_Balance,2050,1,7,12,1394,-62.01000000000002,0.0
59,AT_E_Balance,DE_E_Balance,2050,1,13,18,1395,0.0,-0.0
60,AT_E_Balance,DE_E_Balance,2050,1,19,24,1396,0.0,0.0
61,LU_E_Balance,FR_E_Balance,2050,1,1,6,1397,0.0,1845.99
62,LU_E_Balance,FR_E_Balance,2050,1,7,12,1398,-1845.99,0.0
63,LU_E_Balance,FR_E_Balance,2050,1,13,18,1399,-1908.0,0.0
64,LU_E_Balance,FR_E_Balance,2050,1,19,24,1400,-1845.99,0.0
