id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Wind_Onshore,2050,true,49.0,,465.0
2,NL_Wind_Offshore,2050,true,49.0,,0.0
3,NL_Coal,2050,true,824.0,,5.0
4,NL_Nuclear,2050,true,2095.0,,0.0
5,NL_CCGT,2050,true,357.0,,7.0
6,NL_OCGT,2050,true,357.0,,1.0
7,NL_Battery,2050,false,100.0,,0.0
8,BE_Solar,2050,true,18.0,,398.0
9,BE_Wind_Onshore,2050,true,49.0,,351.0
10,BE_Coal,2050,true,824.0,,3.0
11,BE_Nuclear,2050,true,2095.0,,-0.0
12,BE_CCGT,2050,true,357.0,,4.0
13,BE_OCGT,2050,true,357.0,,5.0
14,BE_Battery,2050,false,100.0,,0.0
15,DE_Solar,2050,true,18.0,,2046.0
16,DE_Wind_Offshore,2050,true,49.0,,0.0
17,DE_Coal,2050,true,824.0,,22.0
18,DE_Nuclear,2050,true,2095.0,,0.0
19,DE_CCGT,2050,true,357.0,,29.0
20,DE_OCGT,2050,true,357.0,,17.0
21,DE_Battery,2050,false,100.0,,0.0017461368054864578
22,FR_Solar,2050,true,18.0,,1568.0
23,FR_Wind_Onshore,2050,true,49.0,,2155.0
24,FR_Wind_Offshore,2050,true,49.0,,-0.0
25,FR_Coal,2050,true,824.0,,7.0
26,FR_CCGT,2050,true,357.0,,24.0
27,FR_OCGT,2050,true,357.0,,11.0
28,FR_Battery,2050,false,100.0,,0.0
29,LU_Solar,2050,true,18.0,,35.0
30,LU_Wind_Onshore,2050,true,49.0,,40.0
31,LU_Wind_Offshore,2050,true,49.0,,-0.0
32,LU_Coal,2050,true,824.0,,-0.0
33,LU_Nuclear,2050,true,2095.0,,-0.0
34,LU_CCGT,2050,true,357.0,,1.0
35,LU_OCGT,2050,true,357.0,,0.0
36,LU_Battery,2050,false,100.0,,0.10763142027666477
37,CH_Solar,2050,true,18.0,,408.0
38,CH_Wind_Onshore,2050,true,49.0,,50.0
39,CH_Wind_Offshore,2050,true,49.0,,-0.0
40,CH_Coal,2050,true,824.0,,7.0
41,CH_Nuclear,2050,true,2095.0,,-0.0
42,CH_OCGT,2050,true,357.0,,4.0
43,CH_Battery,2050,false,100.0,,0.0
44,UK_Solar,2050,true,18.0,,604.0
45,UK_Coal,2050,true,824.0,,0.0
46,UK_Nuclear,2050,true,2095.0,,0.0
47,UK_CCGT,2050,true,357.0,,19.0
48,UK_OCGT,2050,true,357.0,,6.0
49,UK_Battery,2050,false,100.0,,0.018368157847180554
50,DK_Solar,2050,true,18.0,,195.0
51,DK_Wind_Offshore,2050,true,49.0,,-0.0
52,DK_Coal,2050,true,824.0,,1.0
53,DK_Nuclear,2050,true,2095.0,,-0.0
54,DK_OCGT,2050,true,357.0,,1.0
55,DK_Battery,2050,false,100.0,,0.01824298542494546
56,NO_Solar,2050,true,18.0,,0.0
57,NO_Wind_Onshore,2050,true,49.0,,731.0
58,NO_Wind_Offshore,2050,true,49.0,,0.0
59,NO_Nuclear,2050,true,2095.0,,0.0
60,NO_CCGT,2050,true,357.0,,7.0
61,NO_OCGT,2050,true,357.0,,3.0
62,NO_Battery,2050,false,100.0,,0.07748108973417402
63,IE_Solar,2050,true,18.0,,74.0
64,IE_Wind_Onshore,2050,true,49.0,,152.0
65,IE_Wind_Offshore,2050,true,49.0,,0.0
66,IE_Coal,2050,true,824.0,,0.0
67,IE_Nuclear,2050,true,2095.0,,0.0
68,IE_CCGT,2050,true,357.0,,1.0
69,IE_OCGT,2050,true,357.0,,2.0
70,SE_Wind_Onshore,2050,true,49.0,,640.0
71,SE_Coal,2050,true,824.0,,3.0
72,SE_Nuclear,2050,true,2095.0,,0.0
73,SE_CCGT,2050,true,357.0,,11.0
74,SE_OCGT,2050,true,357.0,,5.0
75,SE_Battery,2050,false,100.0,,0.0
76,AT_Solar,2050,true,18.0,,356.0
77,AT_Wind_Onshore,2050,true,49.0,,338.0
78,AT_Wind_Offshore,2050,true,49.0,,-0.0
79,AT_Coal,2050,true,824.0,,3.0
80,AT_Nuclear,2050,true,2095.0,,-0.0
81,AT_CCGT,2050,true,357.0,,3.0
82,AT_OCGT,2050,true,357.0,,8.0
83,AT_Battery,2050,false,100.0,,0.025210809875261475
84,CZ_Wind_Onshore,2050,true,49.0,,264.0
85,CZ_Wind_Offshore,2050,true,49.0,,-0.0
86,CZ_Coal,2050,true,824.0,,3.0
87,CZ_Nuclear,2050,true,2095.0,,-0.0
88,CZ_CCGT,2050,true,357.0,,3.0
89,CZ_OCGT,2050,true,357.0,,1.0
90,CZ_Battery,2050,false,100.0,,0.006847841205065208
91,PL_Solar,2050,true,18.0,,371.0
92,PL_Wind_Onshore,2050,true,49.0,,609.0
93,PL_Wind_Offshore,2050,true,49.0,,0.0
94,PL_Coal,2050,true,824.0,,8.0
95,PL_OCGT,2050,true,357.0,,1.0
96,PL_Battery,2050,false,100.0,,0.0
97,ES_Solar,2050,true,18.0,,1158.0
98,ES_Wind_Offshore,2050,true,49.0,,0.0
99,ES_Coal,2050,true,824.0,,13.0
100,ES_Nuclear,2050,true,2095.0,,0.0
101,ES_CCGT,2050,true,357.0,,14.0
102,ES_OCGT,2050,true,357.0,,14.0
103,IT_Solar,2050,true,18.0,,3772.0
104,IT_Wind_Offshore,2050,true,49.0,,-0.0
105,IT_Coal,2050,true,824.0,,36.0
106,IT_Nuclear,2050,true,2095.0,,-0.0
107,IT_CCGT,2050,true,357.0,,12.0
108,IT_OCGT,2050,true,357.0,,9.0
109,IT_Battery,2050,false,100.0,,2.3959202278458176
110,LT_Wind_Onshore,2050,true,49.0,,36.0
111,LT_Wind_Offshore,2050,true,49.0,,0.0
112,LT_Coal,2050,true,824.0,,0.0
113,LT_Nuclear,2050,true,2095.0,,0.0
114,LT_CCGT,2050,true,357.0,,1.0
115,LT_OCGT,2050,true,357.0,,1.0
116,LT_Battery,2050,false,100.0,,0.12641788987448307
117,FI_Solar,2050,true,18.0,,430.0
118,FI_Wind_Onshore,2050,true,49.0,,460.0
119,FI_Wind_Offshore,2050,true,49.0,,0.0
120,FI_Coal,2050,true,824.0,,4.0
121,FI_Nuclear,2050,true,2095.0,,0.0
122,FI_OCGT,2050,true,357.0,,4.0
123,FI_Battery,2050,false,100.0,,0.011165547990443114
