id,asset,year,rep_period,time_block_start,time_block_end,solution
1,AT_Battery,2050,1,1,1,0.0
2,AT_Battery,2050,1,2,2,0.0
3,AT_Battery,2050,1,3,3,0.0
4,AT_Battery,2050,1,4,4,0.0
5,AT_Battery,2050,1,5,5,-0.0
6,AT_Battery,2050,1,6,6,-0.0
7,AT_Battery,2050,1,7,7,0.0
8,AT_Battery,2050,1,8,8,0.0
9,AT_Battery,2050,1,9,9,0.0
10,AT_Battery,2050,1,10,10,0.0
11,AT_Battery,2050,1,11,11,0.0
12,AT_Battery,2050,1,12,12,41.04000000000008
13,AT_Battery,2050,1,13,13,331.36000000000007
14,AT_Battery,2050,1,14,14,621.6800000000001
15,AT_Battery,2050,1,15,15,912.0
16,AT_Battery,2050,1,16,16,912.0
17,AT_Battery,2050,1,17,17,912.0
18,AT_Battery,2050,1,18,18,912.0
19,AT_Battery,2050,1,19,19,912.0
20,AT_Battery,2050,1,20,20,912.0
21,AT_Battery,2050,1,21,21,912.0
22,AT_Battery,2050,1,22,22,593.6753926701571
23,AT_Battery,2050,1,23,23,593.6753926701571
24,AT_Battery,2050,1,24,24,318.32460732984293
25,AT_Battery,2050,2,1,1,275.35078534031413
26,AT_Battery,2050,2,2,2,-0.0
27,AT_Battery,2050,2,3,3,-0.0
28,AT_Battery,2050,2,4,4,0.0
29,AT_Battery,2050,2,5,5,0.0
30,AT_Battery,2050,2,6,6,-0.0
31,AT_Battery,2050,2,7,7,-0.0
32,AT_Battery,2050,2,8,8,0.0
33,AT_Battery,2050,2,9,9,0.0
34,AT_Battery,2050,2,10,10,0.0
35,AT_Battery,2050,2,11,11,0.0
36,AT_Battery,2050,2,12,12,-0.0
37,AT_Battery,2050,2,13,13,41.04000000000008
38,AT_Battery,2050,2,14,14,331.36000000000007
39,AT_Battery,2050,2,15,15,621.6800000000001
40,AT_Battery,2050,2,16,16,621.6800000000001
41,AT_Battery,2050,2,17,17,912.0
42,AT_Battery,2050,2,18,18,912.0
43,AT_Battery,2050,2,19,19,912.0
44,AT_Battery,2050,2,20,20,593.6753926701571
45,AT_Battery,2050,2,21,21,593.6753926701571
46,AT_Battery,2050,2,22,22,275.35078534031413
47,AT_Battery,2050,2,23,23,275.35078534031413
48,AT_Battery,2050,2,24,24,275.35078534031413
49,AT_Battery,2050,3,1,1,0.0
50,AT_Battery,2050,3,2,2,0.0
51,AT_Battery,2050,3,3,3,-0.0
52,AT_Battery,2050,3,4,4,0.0
53,AT_Battery,2050,3,5,5,0.0
54,AT_Battery,2050,3,6,6,0.0
55,AT_Battery,2050,3,7,7,0.0
56,AT_Battery,2050,3,8,8,0.0
57,AT_Battery,2050,3,9,9,0.0
58,AT_Battery,2050,3,10,10,0.0
59,AT_Battery,2050,3,11,11,41.04000000000008
60,AT_Battery,2050,3,12,12,331.36000000000007
61,AT_Battery,2050,3,13,13,621.6800000000001
62,AT_Battery,2050,3,14,14,912.0
63,AT_Battery,2050,3,15,15,912.0
64,AT_Battery,2050,3,16,16,912.0
65,AT_Battery,2050,3,17,17,593.6753926701571
66,AT_Battery,2050,3,18,18,275.35078534031413
67,AT_Battery,2050,3,19,19,0.0
68,AT_Battery,2050,3,20,20,0.0
69,AT_Battery,2050,3,21,21,0.0
70,AT_Battery,2050,3,22,22,0.0
71,AT_Battery,2050,3,23,23,0.0
72,AT_Battery,2050,3,24,24,0.0
73,AT_Battery,2050,4,1,1,636.6492146596859
74,AT_Battery,2050,4,2,2,636.6492146596859
75,AT_Battery,2050,4,3,3,636.6492146596859
76,AT_Battery,2050,4,4,4,318.32460732984293
77,AT_Battery,2050,4,5,5,318.32460732984293
78,AT_Battery,2050,4,6,6,-0.0
79,AT_Battery,2050,4,7,7,-0.0
80,AT_Battery,2050,4,8,8,0.0
81,AT_Battery,2050,4,9,9,0.0
82,AT_Battery,2050,4,10,10,0.0
83,AT_Battery,2050,4,11,11,290.32
84,AT_Battery,2050,4,12,12,290.32
85,AT_Battery,2050,4,13,13,331.36000000000007
86,AT_Battery,2050,4,14,14,331.36000000000007
87,AT_Battery,2050,4,15,15,621.6800000000001
88,AT_Battery,2050,4,16,16,912.0
89,AT_Battery,2050,4,17,17,912.0
90,AT_Battery,2050,4,18,18,912.0
91,AT_Battery,2050,4,19,19,912.0
92,AT_Battery,2050,4,20,20,912.0
93,AT_Battery,2050,4,21,21,912.0
94,AT_Battery,2050,4,22,22,912.0
95,AT_Battery,2050,4,23,23,912.0
96,AT_Battery,2050,4,24,24,636.6492146596859
97,AT_Battery,2050,5,1,1,0.0
98,AT_Battery,2050,5,2,2,0.0
99,AT_Battery,2050,5,3,3,0.0
100,AT_Battery,2050,5,4,4,0.0
101,AT_Battery,2050,5,5,5,0.0
102,AT_Battery,2050,5,6,6,0.0
103,AT_Battery,2050,5,7,7,0.0
104,AT_Battery,2050,5,8,8,0.0
105,AT_Battery,2050,5,9,9,0.0
106,AT_Battery,2050,5,10,10,0.0
107,AT_Battery,2050,5,11,11,0.0
108,AT_Battery,2050,5,12,12,0.0
109,AT_Battery,2050,5,13,13,0.0
110,AT_Battery,2050,5,14,14,0.0
111,AT_Battery,2050,5,15,15,0.0
112,AT_Battery,2050,5,16,16,0.0
113,AT_Battery,2050,5,17,17,-0.0
114,AT_Battery,2050,5,18,18,-0.0
115,AT_Battery,2050,5,19,19,-0.0
116,AT_Battery,2050,5,20,20,0.0
117,AT_Battery,2050,5,21,21,0.0
118,AT_Battery,2050,5,22,22,0.0
119,AT_Battery,2050,5,23,23,0.0
120,AT_Battery,2050,5,24,24,0.0
