id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,AT_Balance,2050,1,1,1,0.9381
2,AT_Balance,2050,1,2,2,0.9381
3,AT_Balance,2050,1,3,3,0.9381
4,AT_Balance,2050,1,4,4,0.9381
5,AT_Balance,2050,1,5,5,0.9381
6,AT_Balance,2050,1,6,6,1.749
7,AT_Balance,2050,1,7,7,1.749
8,AT_Balance,2050,1,8,8,1.749
9,AT_Balance,2050,1,9,9,1.749
10,AT_Balance,2050,1,10,10,1.749
11,AT_Balance,2050,1,11,11,1.749
12,AT_Balance,2050,1,12,12,1.749
13,AT_Balance,2050,1,13,13,1.749
14,AT_Balance,2050,1,14,14,0.9381
15,AT_Balance,2050,1,15,15,0.9381
16,AT_Balance,2050,1,16,16,1.749
17,AT_Balance,2050,1,17,17,1.749
18,AT_Balance,2050,1,18,18,2.703
19,AT_Balance,2050,1,19,19,2.703
20,AT_Balance,2050,1,20,20,2.703
21,AT_Balance,2050,1,21,21,1.749
22,AT_Balance,2050,1,22,22,0.9381
23,AT_Balance,2050,1,23,23,0.9381
24,AT_Balance,2050,1,24,24,0.9381
25,AT_Balance,2050,2,1,1,0.0
26,AT_Balance,2050,2,2,2,0.0
27,AT_Balance,2050,2,3,3,0.0
28,AT_Balance,2050,2,4,4,0.0
29,AT_Balance,2050,2,5,5,0.0
30,AT_Balance,2050,2,6,6,0.0
31,AT_Balance,2050,2,7,7,0.0
32,AT_Balance,2050,2,8,8,0.0
33,AT_Balance,2050,2,9,9,0.0
34,AT_Balance,2050,2,10,10,0.0
35,AT_Balance,2050,2,11,11,0.0
36,AT_Balance,2050,2,12,12,0.0
37,AT_Balance,2050,2,13,13,0.0
38,AT_Balance,2050,2,14,14,0.0
39,AT_Balance,2050,2,15,15,0.0
40,AT_Balance,2050,2,16,16,0.0
41,AT_Balance,2050,2,17,17,0.0
42,AT_Balance,2050,2,18,18,0.0
43,AT_Balance,2050,2,19,19,0.0
44,AT_Balance,2050,2,20,20,0.0
45,AT_Balance,2050,2,21,21,0.0
46,AT_Balance,2050,2,22,22,0.0
47,AT_Balance,2050,2,23,23,0.0
48,AT_Balance,2050,2,24,24,0.0
49,AT_Balance,2050,3,1,1,1.4789999999999999
50,AT_Balance,2050,3,2,2,0.9570000000000001
51,AT_Balance,2050,3,3,3,0.9570000000000001
52,AT_Balance,2050,3,4,4,0.9570000000000001
53,AT_Balance,2050,3,5,5,0.9570000000000001
54,AT_Balance,2050,3,6,6,0.9570000000000001
55,AT_Balance,2050,3,7,7,1.4789999999999999
56,AT_Balance,2050,3,8,8,1.4789999999999999
57,AT_Balance,2050,3,9,9,1.4789999999999999
58,AT_Balance,2050,3,10,10,1.4789999999999999
59,AT_Balance,2050,3,11,11,1.4789999999999999
60,AT_Balance,2050,3,12,12,1.4789999999999999
61,AT_Balance,2050,3,13,13,1.4789999999999999
62,AT_Balance,2050,3,14,14,1.4789999999999999
63,AT_Balance,2050,3,15,15,1.4789999999999999
64,AT_Balance,2050,3,16,16,1.4789999999999999
65,AT_Balance,2050,3,17,17,6.1097657056663355
66,AT_Balance,2050,3,18,18,19.50593141133267
67,AT_Balance,2050,3,19,19,6.1097657056663355
68,AT_Balance,2050,3,20,20,1.4789999999999999
69,AT_Balance,2050,3,21,21,1.4789999999999999
70,AT_Balance,2050,3,22,22,1.4789999999999999
71,AT_Balance,2050,3,23,23,1.4789999999999999
72,AT_Balance,2050,3,24,24,1.4789999999999999
73,AT_Balance,2050,4,1,1,0.0
74,AT_Balance,2050,4,2,2,0.0
75,AT_Balance,2050,4,3,3,0.0
76,AT_Balance,2050,4,4,4,0.0
77,AT_Balance,2050,4,5,5,0.0
78,AT_Balance,2050,4,6,6,0.0
79,AT_Balance,2050,4,7,7,0.4071
80,AT_Balance,2050,4,8,8,0.4071
81,AT_Balance,2050,4,9,9,0.4071
82,AT_Balance,2050,4,10,10,0.4071
83,AT_Balance,2050,4,11,11,0.4071
84,AT_Balance,2050,4,12,12,0.4071
85,AT_Balance,2050,4,13,13,0.4071
86,AT_Balance,2050,4,14,14,0.4071
87,AT_Balance,2050,4,15,15,0.4071
88,AT_Balance,2050,4,16,16,0.4071
89,AT_Balance,2050,4,17,17,0.759
90,AT_Balance,2050,4,18,18,0.759
91,AT_Balance,2050,4,19,19,0.759
