id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2050,false,10.0,,1.1890562494765617
2,BE_Battery,2050,false,10.0,,18.581121077868012
3,DE_Battery,2050,false,10.0,,8.203483541269089
4,FR_Battery,2050,false,10.0,,487.33841115484245
5,LU_Battery,2050,false,10.0,,18.196053245362304
6,CH_Battery,2050,false,10.0,,24.589650490868735
7,UK_Battery,2050,false,10.0,,184.39101800805946
8,DK_Battery,2050,false,10.0,,1.7914184633329568
9,NO_Battery,2050,false,10.0,,13.591457904977142
10,IE_Battery,2050,false,10.0,,0.45136303037706965
11,SE_Battery,2050,false,10.0,,14.334704357588635
12,AT_Battery,2050,false,10.0,,47.457284462499956
13,CZ_Battery,2050,false,10.0,,0.9618194632870655
14,PL_Battery,2050,false,10.0,,1.6391369018921977
15,ES_Battery,2050,false,10.0,,137.66233889168362
16,IT_Battery,2050,false,10.0,,158.67510757318232
17,LT_Battery,2050,false,10.0,,0.5327891737322489
18,FI_Battery,2050,false,10.0,,0.08914560438643093
19,SI_Battery,2050,false,10.0,,29.53252202913104
20,HU_Battery,2050,false,10.0,,30.419607459427425
21,SK_Battery,2050,false,10.0,,26.51088250631044
22,PT_Battery,2050,false,10.0,,89.5461819024691
23,HR_Battery,2050,false,10.0,,0.0
24,RO_Battery,2050,false,10.0,,20.176600750072247
25,GR_Battery,2050,false,10.0,,47.196251746850976
26,LV_Battery,2050,false,10.0,,5.7685290959727125
27,EE_Battery,2050,false,10.0,,25.89081091397393
28,MT_Battery,2050,false,10.0,,14.999443656124146
29,CY_Battery,2050,false,10.0,,23.210157353043407
30,BG_Battery,2050,false,10.0,,80.06933873110356
