id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,AT_Balance,2050,1,1,4,3.7524
2,AT_Balance,2050,1,5,8,6.996
3,AT_Balance,2050,1,9,12,6.996
4,AT_Balance,2050,1,13,16,3.7524
5,AT_Balance,2050,1,17,20,6.996
6,AT_Balance,2050,1,21,24,3.7524
7,AT_Balance,2050,2,1,4,0.0
8,AT_Balance,2050,2,5,8,0.0
9,AT_Balance,2050,2,9,12,0.0
10,AT_Balance,2050,2,13,16,0.0
11,AT_Balance,2050,2,17,20,0.0
12,AT_Balance,2050,2,21,24,0.0
13,AT_Balance,2050,3,1,4,3.8280000000000003
14,AT_Balance,2050,3,5,8,5.9159999999999995
15,AT_Balance,2050,3,9,12,5.9159999999999995
16,AT_Balance,2050,3,13,16,5.9159999999999995
17,AT_Balance,2050,3,17,20,5.9159999999999995
18,AT_Balance,2050,3,21,24,5.9159999999999995
19,AT_Balance,2050,4,1,4,0.0
20,AT_Balance,2050,4,5,8,1.6284
21,AT_Balance,2050,4,9,12,1.6284
22,AT_Balance,2050,4,13,16,1.6284
23,AT_Balance,2050,4,17,20,3.036
24,AT_Balance,2050,4,21,24,1.6284
25,AT_Balance,2050,5,1,4,0.0
26,AT_Balance,2050,5,5,8,0.0
27,AT_Balance,2050,5,9,12,0.0
28,AT_Balance,2050,5,13,16,0.0
29,AT_Balance,2050,5,17,20,3.6816
30,AT_Balance,2050,5,21,24,0.0
31,AT_Balance,2050,6,1,4,0.0
32,AT_Balance,2050,6,5,8,0.0
33,AT_Balance,2050,6,9,12,0.0
34,AT_Balance,2050,6,13,16,0.0
35,AT_Balance,2050,6,17,20,0.0
36,AT_Balance,2050,6,21,24,0.0
37,AT_Balance,2050,7,1,4,0.0
38,AT_Balance,2050,7,5,8,2.6196
39,AT_Balance,2050,7,9,12,2.6196
40,AT_Balance,2050,7,13,16,2.6196
41,AT_Balance,2050,7,17,20,4.884
42,AT_Balance,2050,7,21,24,2.6196
43,AT_Balance,2050,8,1,4,2.1948
44,AT_Balance,2050,8,5,8,2.1948
