id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2050,false,10.0,,10.74473739211236
2,BE_Battery,2050,false,10.0,,39.38176283749536
3,DE_Battery,2050,false,10.0,,83.161738868276
4,FR_Battery,2050,false,10.0,,487.33841115484245
5,LU_Battery,2050,false,10.0,,18.19605324536233
6,CH_Battery,2050,false,10.0,,12.758604295165195
7,UK_Battery,2050,false,10.0,,278.81420581925084
8,DK_Battery,2050,false,10.0,,6.29174332426974
9,NO_Battery,2050,false,10.0,,32.84689780428325
10,IE_Battery,2050,false,10.0,,0.4513630063605888
11,SE_Battery,2050,false,10.0,,14.211144812162093
12,AT_Battery,2050,false,10.0,,47.45728446248904
13,CZ_Battery,2050,false,10.0,,0.9618194632871772
14,PL_Battery,2050,false,10.0,,1.6391369018920159
15,ES_Battery,2050,false,10.0,,173.07350636830543
16,IT_Battery,2050,false,10.0,,313.0059162337069
17,LT_Battery,2050,false,10.0,,1.8994142623064545
18,FI_Battery,2050,false,10.0,,2.4504300025470003
19,SI_Battery,2050,false,10.0,,13.662479287251893
20,HU_Battery,2050,false,10.0,,43.67530197227038
21,SK_Battery,2050,false,10.0,,26.253538164143617
22,PT_Battery,2050,false,10.0,,31.986005463044204
23,HR_Battery,2050,false,10.0,,0.0
24,RO_Battery,2050,false,10.0,,0.11386725097285197
25,GR_Battery,2050,false,10.0,,37.899459487853676
26,LV_Battery,2050,false,10.0,,6.272369473428867
27,EE_Battery,2050,false,10.0,,20.72613860113887
28,MT_Battery,2050,false,10.0,,12.021562060721124
29,CY_Battery,2050,false,10.0,,23.851828852929934
30,BG_Battery,2050,false,10.0,,20.517932896757422
