id,asset,year,rep_period,time_block_start,time_block_end,unit_commitment_integer,asset_1,type,group,capacity,min_operating_point,investment_method,investment_integer,technical_lifetime,economic_lifetime,discount_rate,consumer_balance_sense,capacity_storage_energy,is_seasonal,use_binary_storage_method,unit_commitment,unit_commitment_method,unit_commitment_integer_1,ramping,storage_method_energy,energy_to_power_ratio,investment_integer_storage_energy,max_ramp_up,max_ramp_down,dual_limit_units_on_simple_method
1,ccgt,2030,1,1,3,true,ccgt,conversion,,200.0,0.25,simple,true,15,1,0.05,,0.0,false,,true,basic,true,true,false,0.0,false,0.3,0.4,0.0
2,ccgt,2030,1,4,6,true,ccgt,conversion,,200.0,0.25,simple,true,15,1,0.05,,0.0,false,,true,basic,true,true,false,0.0,false,0.3,0.4,0.0
3,ccgt,2030,1,7,9,true,ccgt,conversion,,200.0,0.25,simple,true,15,1,0.05,,0.0,false,,true,basic,true,true,false,0.0,false,0.3,0.4,0.0
4,ccgt,2030,1,10,12,true,ccgt,conversion,,200.0,0.25,simple,true,15,1,0.05,,0.0,false,,true,basic,true,true,false,0.0,false,0.3,0.4,0.0
5,ccgt,2030,1,13,15,true,ccgt,conversion,,200.0,0.25,simple,true,15,1,0.05,,0.0,false,,true,basic,true,true,false,0.0,false,0.3,0.4,0.0
6,ccgt,2030,1,16,18,true,ccgt,conversion,,200.0,0.25,simple,true,15,1,0.05,,0.0,false,,true,basic,true,true,false,0.0,false,0.3,0.4,0.0
7,ccgt,2030,1,19,21,true,ccgt,conversion,,200.0,0.25,simple,true,15,1,0.05,,0.0,false,,true,basic,true,true,false,0.0,false,0.3,0.4,0.0
8,ccgt,2030,1,22,24,true,ccgt,conversion,,200.0,0.25,simple,true,15,1,0.05,,0.0,false,,true,basic,true,true,false,0.0,false,0.3,0.4,0.0
9,ocgt,2030,1,1,1,true,ocgt,conversion,,100.0,0.1,simple,true,15,1,0.05,,0.0,false,,true,basic,true,false,false,0.0,false,,,0.0
10,ocgt,2030,1,2,2,true,ocgt,conversion,,100.0,0.1,simple,true,15,1,0.05,,0.0,false,,true,basic,true,false,false,0.0,false,,,0.0
11,ocgt,2030,1,3,3,true,ocgt,conversion,,100.0,0.1,simple,true,15,1,0.05,,0.0,false,,true,basic,true,false,false,0.0,false,,,0.0
12,ocgt,2030,1,4,4,true,ocgt,conversion,,100.0,0.1,simple,true,15,1,0.05,,0.0,false,,true,basic,true,false,false,0.0,false,,,0.0
13,ocgt,2030,1,5,5,true,ocgt,conversion,,100.0,0.1,simple,true,15,1,0.05,,0.0,false,,true,basic,true,false,false,0.0,false,,,0.0
14,ocgt,2030,1,6,6,true,ocgt,conversion,,100.0,0.1,simple,true,15,1,0.05,,0.0,false,,true,basic,true,false,false,0.0,false,,,0.0
15,ocgt,2030,1,7,7,true,ocgt,conversion,,100.0,0.1,simple,true,15,1,0.05,,0.0,false,,true,basic,true,false,false,0.0,false,,,0.0
16,ocgt,2030,1,8,8,true,ocgt,conversion,,100.0,0.1,simple,true,15,1,0.05,,0.0,false,,true,basic,true,false,false,0.0,false,,,0.0
17,ocgt,2030,1,9,9,true,ocgt,conversion,,100.0,0.1,simple,true,15,1,0.05,,0.0,false,,true,basic,true,false,false,0.0,false,,,0.0
