id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,NL_Balance,DK_Balance,2050,1,1,1,2351,0.0,0.9381
2,NL_Balance,DK_Balance,2050,1,2,2,2352,0.0,-0.0
3,NL_Balance,DK_Balance,2050,1,3,3,2353,0.0,-0.0
4,NL_Balance,DK_Balance,2050,1,4,4,2354,0.0,-0.0
5,NL_Balance,DK_Balance,2050,1,5,5,2355,-0.8109000000000001,0.0
6,NL_Balance,DK_Balance,2050,1,6,6,2356,-0.8109000000000001,0.0
7,NL_Balance,DK_Balance,2050,1,7,7,2357,0.0,-0.0
8,NL_Balance,DK_Balance,2050,1,8,8,2358,0.0,-0.0
9,NL_Balance,DK_Balance,2050,1,9,9,2359,0.0,-0.0
10,NL_Balance,DK_Balance,2050,1,10,10,2360,0.0,12.670465705666336
11,NL_Balance,DK_Balance,2050,1,11,11,2361,0.0,-0.0
12,NL_Balance,DK_Balance,2050,1,12,12,2362,-0.9539999999999997,0.0
13,NL_Balance,DK_Balance,2050,1,13,13,2363,-0.9539999999999997,0.0
14,NL_Balance,DK_Balance,2050,1,14,14,2364,-0.9539999999999997,0.0
15,NL_Balance,DK_Balance,2050,1,15,15,2365,-0.9539999999999997,0.0
16,NL_Balance,DK_Balance,2050,1,16,16,2366,-0.9539999999999997,0.0
17,NL_Balance,DK_Balance,2050,1,17,17,2367,0.0,-0.0
18,NL_Balance,DK_Balance,2050,1,18,18,2368,0.0,-0.0
19,NL_Balance,DK_Balance,2050,1,19,19,2369,0.0,-0.0
20,NL_Balance,DK_Balance,2050,1,20,20,2370,0.0,-0.0
21,NL_Balance,DK_Balance,2050,1,21,21,2371,-0.8109000000000001,0.0
22,NL_Balance,DK_Balance,2050,1,22,22,2372,-0.8109000000000001,0.0
23,NL_Balance,DK_Balance,2050,1,23,23,2373,0.0,-0.0
24,NL_Balance,DK_Balance,2050,1,24,24,2374,0.0,-0.0
25,NL_Balance,BE_Balance,2050,1,1,1,2375,0.0,-0.0
26,NL_Balance,BE_Balance,2050,1,2,2,2376,0.0,-0.0
27,NL_Balance,BE_Balance,2050,1,3,3,2377,0.0,-0.0
28,NL_Balance,BE_Balance,2050,1,4,4,2378,0.0,-0.0
29,NL_Balance,BE_Balance,2050,1,5,5,2379,0.0,-0.0
30,NL_Balance,BE_Balance,2050,1,6,6,2380,0.0,-0.0
31,NL_Balance,BE_Balance,2050,1,7,7,2381,0.0,-0.0
32,NL_Balance,BE_Balance,2050,1,8,8,2382,0.0,-0.0
33,NL_Balance,BE_Balance,2050,1,9,9,2383,0.0,-0.0
34,NL_Balance,BE_Balance,2050,1,10,10,2384,0.0,12.670465705666336
35,NL_Balance,BE_Balance,2050,1,11,11,2385,0.0,-0.0
36,NL_Balance,BE_Balance,2050,1,12,12,2386,0.0,-0.0
37,NL_Balance,BE_Balance,2050,1,13,13,2387,0.0,0.8109000000000001
38,NL_Balance,BE_Balance,2050,1,14,14,2388,0.0,0.8109000000000001
39,NL_Balance,BE_Balance,2050,1,15,15,2389,0.0,0.8109000000000001
40,NL_Balance,BE_Balance,2050,1,16,16,2390,0.0,0.8109000000000001
41,NL_Balance,BE_Balance,2050,1,17,17,2391,0.0,0.8109000000000001
42,NL_Balance,BE_Balance,2050,1,18,18,2392,0.0,-0.0
43,NL_Balance,BE_Balance,2050,1,19,19,2393,0.0,-0.0
44,NL_Balance,BE_Balance,2050,1,20,20,2394,0.0,-0.0
45,NL_Balance,BE_Balance,2050,1,21,21,2395,-0.8109000000000001,0.0
46,NL_Balance,BE_Balance,2050,1,22,22,2396,0.0,-0.0
47,NL_Balance,BE_Balance,2050,1,23,23,2397,0.0,-0.0
48,NL_Balance,BE_Balance,2050,1,24,24,2398,-0.9381,0.0
49,BE_Balance,LU_Balance,2050,1,1,1,2399,0.0,0.9381
50,BE_Balance,LU_Balance,2050,1,2,2,2400,0.0,0.9381
51,BE_Balance,LU_Balance,2050,1,3,3,2401,0.0,0.9381
52,BE_Balance,LU_Balance,2050,1,4,4,2402,0.0,0.9381
53,BE_Balance,LU_Balance,2050,1,5,5,2403,0.0,0.9381
54,BE_Balance,LU_Balance,2050,1,6,6,2404,0.0,0.9381
55,BE_Balance,LU_Balance,2050,1,7,7,2405,0.0,1.749
56,BE_Balance,LU_Balance,2050,1,8,8,2406,0.0,1.749
57,BE_Balance,LU_Balance,2050,1,9,9,2407,0.0,1.749
58,BE_Balance,LU_Balance,2050,1,10,10,2408,0.0,1.749
59,BE_Balance,LU_Balance,2050,1,11,11,2409,0.0,1.749
60,BE_Balance,LU_Balance,2050,1,12,12,2410,-37.25149711699901,0.0
61,BE_Balance,LU_Balance,2050,1,13,13,2411,0.0,0.9381
62,BE_Balance,LU_Balance,2050,1,14,14,2412,-24.666231411332678,0.0
63,BE_Balance,LU_Balance,2050,1,15,15,2413,0.0,0.9381
64,BE_Balance,LU_Balance,2050,1,16,16,2414,0.0,0.9381
65,BE_Balance,LU_Balance,2050,1,17,17,2415,0.0,0.9381
66,BE_Balance,LU_Balance,2050,1,18,18,2416,0.0,1.749
67,BE_Balance,LU_Balance,2050,1,19,19,2417,0.0,1.749
68,BE_Balance,LU_Balance,2050,1,20,20,2418,0.0,1.749
69,BE_Balance,LU_Balance,2050,1,21,21,2419,0.0,1.749
70,BE_Balance,LU_Balance,2050,1,22,22,2420,0.0,0.9381
71,BE_Balance,LU_Balance,2050,1,23,23,2421,0.0,0.9381
72,BE_Balance,LU_Balance,2050,1,24,24,2422,0.0,0.9381
73,BE_Balance,DE_Balance,2050,1,1,1,2423,0.0,-0.0
74,BE_Balance,DE_Balance,2050,1,2,2,2424,0.0,-0.0
75,BE_Balance,DE_Balance,2050,1,3,3,2425,0.0,-0.0
76,BE_Balance,DE_Balance,2050,1,4,4,2426,0.0,-0.0
77,BE_Balance,DE_Balance,2050,1,5,5,2427,-0.8109000000000001,0.0
78,BE_Balance,DE_Balance,2050,1,6,6,2428,-0.8109000000000001,0.0
79,BE_Balance,DE_Balance,2050,1,7,7,2429,0.0,-0.0
80,BE_Balance,DE_Balance,2050,1,8,8,2430,0.0,-0.0
81,BE_Balance,DE_Balance,2050,1,9,9,2431,0.0,-0.0
82,BE_Balance,DE_Balance,2050,1,10,10,2432,0.0,-0.0
83,BE_Balance,DE_Balance,2050,1,11,11,2433,0.0,-0.0
84,BE_Balance,DE_Balance,2050,1,12,12,2434,0.0,-0.0
85,BE_Balance,DE_Balance,2050,1,13,13,2435,-0.8109000000000001,0.0
86,BE_Balance,DE_Balance,2050,1,14,14,2436,0.0,-0.0
87,BE_Balance,DE_Balance,2050,1,15,15,2437,0.0,-0.0
88,BE_Balance,DE_Balance,2050,1,16,16,2438,0.0,-0.0
89,BE_Balance,DE_Balance,2050,1,17,17,2439,0.0,-0.0
90,BE_Balance,DE_Balance,2050,1,18,18,2440,0.0,-0.0
91,BE_Balance,DE_Balance,2050,1,19,19,2441,0.0,-0.0
92,BE_Balance,DE_Balance,2050,1,20,20,2442,0.0,0.8109000000000001
93,BE_Balance,DE_Balance,2050,1,21,21,2443,0.0,0.8109000000000001
94,BE_Balance,DE_Balance,2050,1,22,22,2444,0.0,-0.0
95,BE_Balance,DE_Balance,2050,1,23,23,2445,0.0,-0.0
96,BE_Balance,DE_Balance,2050,1,24,24,2446,0.0,-0.0
97,DE_Balance,AT_Balance,2050,1,1,1,2447,0.0,0.9381
98,DE_Balance,AT_Balance,2050,1,2,2,2448,-0.9381,0.0
99,DE_Balance,AT_Balance,2050,1,3,3,2449,-0.9381,0.0
100,DE_Balance,AT_Balance,2050,1,4,4,2450,0.0,0.9381
101,DE_Balance,AT_Balance,2050,1,5,5,2451,0.0,1.749
102,DE_Balance,AT_Balance,2050,1,6,6,2452,-0.12719999999999998,0.0
103,DE_Balance,AT_Balance,2050,1,7,7,2453,0.0,1.749
104,DE_Balance,AT_Balance,2050,1,8,8,2454,-1.749,0.0
105,DE_Balance,AT_Balance,2050,1,9,9,2455,-1.749,0.0
106,DE_Balance,AT_Balance,2050,1,10,10,2456,0.0,1.749
107,DE_Balance,AT_Balance,2050,1,11,11,2457,0.0,1.749
108,DE_Balance,AT_Balance,2050,1,12,12,2458,-1.749,0.0
109,DE_Balance,AT_Balance,2050,1,13,13,2459,-1.749,0.0
110,DE_Balance,AT_Balance,2050,1,14,14,2460,0.0,0.9381
111,DE_Balance,AT_Balance,2050,1,15,15,2461,-2.5599000000000003,0.0
112,DE_Balance,AT_Balance,2050,1,16,16,2462,0.0,0.9381
113,DE_Balance,AT_Balance,2050,1,17,17,2463,0.0,0.9381
114,DE_Balance,AT_Balance,2050,1,18,18,2464,-3.6569999999999996,0.0
115,DE_Balance,AT_Balance,2050,1,19,19,2465,0.0,1.749
116,DE_Balance,AT_Balance,2050,1,20,20,2466,-4.467899999999999,0.0
117,DE_Balance,AT_Balance,2050,1,21,21,2467,-0.9381,0.0
118,DE_Balance,AT_Balance,2050,1,22,22,2468,0.0,0.9381
119,DE_Balance,AT_Balance,2050,1,23,23,2469,-0.9381,0.0
120,DE_Balance,AT_Balance,2050,1,24,24,2470,0.0,0.9381
121,DE_Balance,DK_Balance,2050,1,1,1,2471,0.0,0.9381
122,DE_Balance,DK_Balance,2050,1,2,2,2472,0.0,-0.0
123,DE_Balance,DK_Balance,2050,1,3,3,2473,0.0,-0.0
124,DE_Balance,DK_Balance,2050,1,4,4,2474,0.0,-0.0
125,DE_Balance,DK_Balance,2050,1,5,5,2475,0.0,-0.0
126,DE_Balance,DK_Balance,2050,1,6,6,2476,0.0,-0.0
127,DE_Balance,DK_Balance,2050,1,7,7,2477,0.0,-0.0
128,DE_Balance,DK_Balance,2050,1,8,8,2478,0.0,-0.0
129,DE_Balance,DK_Balance,2050,1,9,9,2479,0.0,-0.0
130,DE_Balance,DK_Balance,2050,1,10,10,2480,0.0,-0.0
131,DE_Balance,DK_Balance,2050,1,11,11,2481,0.0,-0.0
132,DE_Balance,DK_Balance,2050,1,12,12,2482,-0.9539999999999997,0.0
133,DE_Balance,DK_Balance,2050,1,13,13,2483,-0.9539999999999997,0.0
134,DE_Balance,DK_Balance,2050,1,14,14,2484,-1.7649,0.0
135,DE_Balance,DK_Balance,2050,1,15,15,2485,-1.7649,0.0
136,DE_Balance,DK_Balance,2050,1,16,16,2486,-1.7649,0.0
137,DE_Balance,DK_Balance,2050,1,17,17,2487,-0.8109000000000001,0.0
138,DE_Balance,DK_Balance,2050,1,18,18,2488,0.0,-0.0
139,DE_Balance,DK_Balance,2050,1,19,19,2489,0.0,-0.0
140,DE_Balance,DK_Balance,2050,1,20,20,2490,-0.8109000000000001,0.0
141,DE_Balance,DK_Balance,2050,1,21,21,2491,-0.8109000000000001,0.0
142,DE_Balance,DK_Balance,2050,1,22,22,2492,-0.8109000000000001,0.0
143,DE_Balance,DK_Balance,2050,1,23,23,2493,0.0,-0.0
144,DE_Balance,DK_Balance,2050,1,24,24,2494,0.0,0.9381
145,DE_Balance,NO_Balance,2050,1,1,1,2495,0.0,0.9381
146,DE_Balance,NO_Balance,2050,1,2,2,2496,0.0,0.9381
147,DE_Balance,NO_Balance,2050,1,3,3,2497,-0.8109000000000001,0.0
148,DE_Balance,NO_Balance,2050,1,4,4,2498,-0.8109000000000001,0.0
149,DE_Balance,NO_Balance,2050,1,5,5,2499,0.0,-0.0
150,DE_Balance,NO_Balance,2050,1,6,6,2500,0.0,-0.0
151,DE_Balance,NO_Balance,2050,1,7,7,2501,0.0,-0.0
152,DE_Balance,NO_Balance,2050,1,8,8,2502,-0.9539999999999997,0.0
153,DE_Balance,NO_Balance,2050,1,9,9,2503,-14.350165705666337,0.0
154,DE_Balance,NO_Balance,2050,1,10,10,2504,-0.9539999999999997,0.0
155,DE_Balance,NO_Balance,2050,1,11,11,2505,-0.9539999999999997,0.0
156,DE_Balance,NO_Balance,2050,1,12,12,2506,-0.9539999999999997,0.0
157,DE_Balance,NO_Balance,2050,1,13,13,2507,0.0,-0.0
158,DE_Balance,NO_Balance,2050,1,14,14,2508,-0.8109000000000001,0.0
159,DE_Balance,NO_Balance,2050,1,15,15,2509,-0.8109000000000001,0.0
160,DE_Balance,NO_Balance,2050,1,16,16,2510,-0.8109000000000001,0.0
161,DE_Balance,NO_Balance,2050,1,17,17,2511,-0.8109000000000001,0.0
162,DE_Balance,NO_Balance,2050,1,18,18,2512,0.0,-0.0
163,DE_Balance,NO_Balance,2050,1,19,19,2513,0.0,-0.0
164,DE_Balance,NO_Balance,2050,1,20,20,2514,-0.8109000000000001,0.0
165,DE_Balance,NO_Balance,2050,1,21,21,2515,-0.8109000000000001,0.0
166,DE_Balance,NO_Balance,2050,1,22,22,2516,-0.8109000000000001,0.0
167,DE_Balance,NO_Balance,2050,1,23,23,2517,-0.8109000000000001,0.0
168,DE_Balance,NO_Balance,2050,1,24,24,2518,-0.8109000000000001,0.0
169,DE_Balance,CH_Balance,2050,1,1,1,2519,0.0,0.9381
170,DE_Balance,CH_Balance,2050,1,2,2,2520,-0.9381,0.0
171,DE_Balance,CH_Balance,2050,1,3,3,2521,-0.9381,0.0
172,DE_Balance,CH_Balance,2050,1,4,4,2522,0.0,0.9381
173,DE_Balance,CH_Balance,2050,1,5,5,2523,-1.749,0.0
174,DE_Balance,CH_Balance,2050,1,6,6,2524,0.0,1.749
175,DE_Balance,CH_Balance,2050,1,7,7,2525,-0.12719999999999998,0.0
